ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lanzar hechizos.
Subclass/&ClassMonkTraditionDescription	En el 3er nivel, eliges el camino espiritual que sigues hacia la iluminación. Dará forma a cómo manipulas el ki.
Subclass/&ClassMonkTraditionTitle	Tradiciones Monásticas
Subclass/&ClassMonkTraditionWayOfTheOpenHandDescription	Los monjes del Camino de la Mano Abierta son los maestros supremos del combate de artes marciales, ya sea armado o desarmado. Aprenden técnicas para empujar y hacer tropezar a sus oponentes, manipular el ki para curar el daño en sus cuerpos y practicar meditación avanzada que puede protegerlos del daño.
Subclass/&ClassMonkTraditionWayOfTheOpenHandTitle	Camino de la Mano Abierta
Subclass/&ClassMonkTraditionZenArcherDescription	Los practicantes del Camino de la Mano Distante se entrenan para hacer de las flechas una extensión de sus manos. Son expertos en el uso de arcos y en la entrega de efectos potenciados por ki a través de flechas.
Subclass/&ClassMonkTraditionZenArcherTitle	Camino de la mano distante
Subclass/&ClassWarlockPatronDescription	Un brujo se define por un pacto con un ser de otro mundo. A veces, la relación entre el brujo y el patrón es como la de un clérigo y una deidad, aunque los seres que actúan como patrones no son dioses.
Subclass/&ClassWarlockPatronTitle	Patrón de otro mundo
Subclass/&ConditionResistantArmorTitle	Armadura Resistente
Subclass/&ConditionResistnatArmorDescription	Tu armadura es resistente al daño por ácido, frío, fuego, fuerza, rayos, necrótico, veneno, psíquico, radiante y trueno.
Subclass/&ConditionSpellShieldArcaneDeflectionDescription	Puedes usar tus poderes arcanos para protegerte como reacción. Esto te da +3 a tu CA hasta tu próximo turno.
Subclass/&ConditionSpellShieldArcaneDeflectionTitle	Desviación arcana
Subclass/&ConditionTransmuteConstitutionSaveDescription	Constitución Temporal salvo competencia otorgada por el poder Transmutar Fuerza.
Subclass/&ConditionTransmuteConstitutionSaveTitle	Constitución guarda
Subclass/&ConditionTransmutePoisonDescription	Resistencia temporal al ácido, frío, fuego, relámpagos, necrótico, veneno y trueno otorgada por el poder Transmutar Force.
Subclass/&ConditionTransmutePoisonTitle	Resistencia Elemental
Subclass/&CraftingTinkererMagicItemAdeptDescription	Eres experto en la elaboración de objetos mágicos. Te lleva 1/4 del tiempo crear artículos y aplicas el doble de tu bonificación de competencia al fabricarlos.
Subclass/&CraftingTinkererMagicItemAdeptTitle	Experto en objetos mágicos
Subclass/&DHWarlockSubclassElementalPatronDescription	Has hecho un pacto con los primordiales presentes en las tierras baldías elementales y te han cambiado. El caos elemental del patrón ha impregnado tu alma, permitiéndote usar el poder de diferentes tipos de elementos.
Subclass/&DHWarlockSubclassElementalPatronTitle	Pacto Elementalista
Subclass/&DHWarlockSubclassRiftWalkerDescription	Tu patrón es uno de los raros seres que llama hogar al vacío entre los mundos. Se deslizan entre los planos con facilidad y el conocimiento que ha adquirido al interactuar con ellos le permite aprovechar las energías de grietas persistentes para su beneficio dentro de solasta. Es posible que a veces te sientas lleno de añoranza por el reino distante de tu patrón, un deseo de vagar entre dimensiones por el resto de tus días, o estar atento a señales de otro evento de Rift, ya sea para prevenirlo o alentarlo.
Subclass/&DHWarlockSubclassRiftWalkerTitle	Pacto del Caminante del Rift
Subclass/&DruidForestGuardianDruidSubclassDescription	Los druidas del círculo de los guardianes del bosque han jurado proteger los bosques y todo lo que habita en ellos. Expertos en el uso de la magia de abjuración y el combate marcial, los miembros de este círculo druídico son oponentes temibles en el campo de batalla.
Subclass/&DruidForestGuardianDruidSubclassTitle	Círculo del guardián del bosque
Subclass/&EquipmentModifierArtificerBagOfHolderDescription	Toca una bolsa e infunde un espacio dimensional extra para ayudarla a soportar más peso sin estorbarte. Solo puede tener activa una de cada infusión a la vez. Activarlo por segunda vez cancelará la primera.
Subclass/&EquipmentModifierArtificerBagOfHolderTitle	Bolsa de tenencia
Subclass/&FighterMarshalCoordinatedAttackDescription	Cuando golpeas a un enemigo con un ataque cuerpo a cuerpo, tus aliados pueden usar su reacción para realizar un ataque de oportunidad contra tu objetivo.
Subclass/&FighterMarshalCoordinatedAttackTitle	Ataque coordinado
Subclass/&FighterMarshalDescription	Expertos en estudiar las debilidades de los enemigos y coordinar los ataques de otros miembros del grupo para explotarlos, los luchadores que se entrenaron en esta parte marcial son famosos oquestradores del campo de batalla.
Subclass/&FighterMarshalEncouragementPowerDescription	El coraje del mariscal inspira a su miembro del partido. Los aliados a 10 pies de él suman 1d4 a la tirada de ataque y la tirada de salvación.
Subclass/&FighterMarshalEncouragementPowerTitle	Ánimo
Subclass/&FighterMarshalEternalComradeFeatureSetDescription	El vínculo entre el mariscal y su camarada cruza la frontera entre la vida y la muerte. Como acción adicional, el mariscal puede convocar a un espíritu de sus camaradas caídos para que lo ayude en el combate.
Subclass/&FighterMarshalEternalComradeFeatureSetTitle	camarada eterna
Subclass/&FighterMarshalFearlessCommanderFeatureSetDescription	Eres inmune al efecto del miedo.
Subclass/&FighterMarshalFearlessCommanderFeatureSetTitle	Comandante intrépido
Subclass/&FighterMarshalKnowYourEnemyFeatureSetDescription	Añades tu nivel de conocimiento de tu objetivo actual a tus tiradas de ataque y daño.
Subclass/&FighterMarshalKnowYourEnemyFeatureSetTitle	Conoce a tu enemigo
Subclass/&FighterMarshalStudyYourEnemyPowerDescription	Como acción adicional, puedes intentar aumentar tu conocimiento sobre tu objetivo haciendo una prueba de Supervivencia. Puedes hacer esto dos veces por descanso corto.
Subclass/&FighterMarshalStudyYourEnemyPowerTitle	Estudia a tu enemigo
Subclass/&FighterMarshalSummonEternalComradePowerDescription	Invoca 1 espíritu del camarada caído del mariscal. Cada espíritu tiene 45 + el doble de tu nivel de Luchador en HP y su CA es 16 + tu bonificación por competencia. Los espíritus son inmunes al veneno, frío, necrótico, propenso, paralizado y refrenado. Los espíritus tienen resistencia al daño por fuego, ácido, rayos y truenos y tienen resistencia contra daños no mágicos cortantes, contundentes y perforantes. En su turno, pueden volar hasta 50 pies y hacer un único ataque con arma cuerpo a cuerpo que inflige 2d6 + 5 de daño cortante mágico con una bonificación de 5 + bonificación de competencia para impactar.
Subclass/&FighterMarshalSummonEternalComradePowerTitle	Invocar camarada eterna
Subclass/&FighterMarshalTitle	Mariscal
Subclass/&FighterRoyalKnightDescription	Un caballero que inspira grandeza en los demás al cometer hazañas valientes en la batalla. Un caballero solitario es un guerrero habilidoso, pero uno que lidera una banda de aliados puede transformar incluso a la milicia peor equipada en una feroz banda de guerra.
Subclass/&FighterRoyalKnightTitle	Caballero real
Subclass/&FighterSpellShieldDescription	Spell Shields son luchadores que se especializan en defensa y protección. Usan magia para ayudar a sus habilidades naturales.
Subclass/&FighterSpellShieldSpellcastingDescription	Lanza hechizos de mago y cantrips de las escuelas de abjuración, ilusión, transmutación y nigromancia.
Subclass/&FighterSpellShieldSpellcastingTitle	Lanzamiento de hechizos
Subclass/&FighterSpellShieldSpellResistanceDescription	Tu experiencia con los hechizos y la magia de abjuración en particular te ha hecho resistente a los hechizos lanzados contra ti.
Subclass/&FighterSpellShieldSpellResistanceTitle	Resistencia a conjuros
Subclass/&FighterSpellShieldTitle	Escudo de hechizos
Subclass/&GreenWitchDescription	Las plantas, la naturaleza y las cosas que crecen son el dominio de la magia verde. Normalmente un tipo de arcana defendida por los druidas, algunas brujas tienen un estrecho vínculo con los poderes de la magia verde y pueden engatusar a las plantas y los animales a sus órdenes.
Subclass/&GreenWitchMagicDescription	Ganas los siguientes hechizos. Estos hechizos cuentan como hechizos de bruja para ti y no cuentan contra tu número total de hechizos conocidos:\n{0}
Subclass/&GreenWitchMagicTitle	magia verde
Subclass/&GreenWitchTitle	bruja verde
Subclass/&HArtilleryIncreaseDescription	Aumento de la reserva de artillería.
Subclass/&HArtilleryIncreaseTitle	Aumento del fondo de artillería
Subclass/&HealingPoolArtificerBattleSmithInfusionsIncreaseDescription	Ahora puede infundir dos artículos adicionales cada día. Estos están destinados a ser utilizados para su arma especial Weapon Smith.
Subclass/&HealingPoolArtificerBattleSmithInfusionsIncreaseTitle	Herrero de armas Infusión de armas
Subclass/&HealingPoolArtificerInfusionsDescription	2 veces al día infunde objetos con efectos mágicos.
Subclass/&HealingPoolArtificerInfusionsIncreaseDescription	Ahora puede infundir un elemento adicional cada día.
Subclass/&HealingPoolArtificerInfusionsIncreaseTitle	Más Infusiones
Subclass/&HealingPoolArtificerInfusionsTitle	Infusiones
Subclass/&HealingPoolLifeTransmuterBonusDescription	Puede hacer cumplir su voluntad en la realidad 2 veces adicionales por día.
Subclass/&HealingPoolLifeTransmuterBonusExtraDescription	Puede hacer cumplir su voluntad en la realidad 4 veces adicionales por día.
Subclass/&HealingPoolLifeTransmuterBonusExtraTitle	Fuerza de transmutación adicional
Subclass/&HealingPoolLifeTransmuterBonusTitle	Fuerza de transmutación adicional
Subclass/&HealingPoolLifeTransmuterListDescription	Puedes representar tu voluntad en la realidad con poderes especiales 2 veces al día.
Subclass/&HealingPoolLifeTransmuterListTitle	transmutar fuerza
Subclass/&MagicAffinityAlchemicalSavantListDescription	Al lanzar Acid Arrow y Flaming Sphere, se comportan como si lanzaran 2 niveles más altos. Tus cantrips también se potencian, por lo que incluso cuando el enemigo salva, todavía reciben la mitad de daño.
Subclass/&MagicAffinityAlchemicalSavantListTitle	Hechizos de Elixir Savant
Subclass/&MagicAffinityAlchemistSpellRecoveryDescription	Puedes recuperar espacios de conjuros durante un breve descanso dos veces al día.
Subclass/&MagicAffinityAlchemistSpellRecoveryTitle	Preparación alquímica
Subclass/&MagicAffinityFighterSpellShieldDescription	Ventaja en las pruebas de concentración, así como la capacidad de realizar componentes somáticos de hechizos mientras sostiene objetos.
Subclass/&MagicAffinityFighterSpellShieldTitle	Lanzamiento de combate
Subclass/&MagicAffinityLifeTransmuterListDescription	Al lanzar algunos hechizos de transmutación y nigromancia, se lanzan en un espacio de hechizo 2 niveles más alto que el utilizado. Los hechizos mejorados incluyen: Vida falsa, Ceguera, Volar, Otorgar maldición, Toque vampírico, Blight y Cloud Kill.\n--Nota: La intención es tener el beneficio de Arma Mágica también, pero actualmente aumentar el nivel del hechizo de esta manera en Arma Mágica no tiene ningún efecto.
Subclass/&MagicAffinityLifeTransmuterListTitle	Flexión de la realidad
Subclass/&MagicAffinityMasterManipulatorDC0Description	Es más difícil para los oponentes resistir tus hechizos. La CD de salvación aumenta en 0.
Subclass/&MagicAffinityMasterManipulatorDC1Description	Es más difícil para los oponentes resistir tus hechizos. La CD de salvación aumenta en 1.
Subclass/&MagicAffinityMasterManipulatorDC2Description	Es más difícil para los oponentes resistir tus hechizos. La CD de salvación aumenta en 2.
Subclass/&MagicAffinityMasterManipulatorDC3Description	Es más difícil para los oponentes resistir tus hechizos. La CD de salvación aumenta en 3.
Subclass/&MagicAffinityMasterManipulatorDC4Description	Es más difícil para los oponentes resistir tus hechizos. La CD de salvación aumenta en 4.
Subclass/&MagicAffinityMasterManipulatorDC5Description	Es más difícil para los oponentes resistir tus hechizos. La CD de salvación aumenta en 5.
Subclass/&MagicAffinityMasterManipulatorDCDescription	Es más difícil para los oponentes resistir tus hechizos. La CD de salvación aumenta en 3.
Subclass/&MagicAffinityMasterManipulatorDCTitle	Fuerza Arcana
Subclass/&MagicAffinityMasterManipulatorListDescription	Al lanzar algunos hechizos de Encantamiento, Abjuración e Ilusión, se lanzan en un espacio de hechizo 1 nivel más alto que el utilizado. Los hechizos mejorados incluyen: Encantar persona, Dormir, Rociar color, Retener persona, Invisibilidad, Contrahechizo, Disipar magia, Destierro, Confusión, Asesino fantasmal, Dominar persona y Retener monstruo.
Subclass/&MagicAffinityMasterManipulatorListTitle	Manipulación Arcana
Subclass/&MagicAffinityMeleeWizardConcentrationDescription	Debido a la experiencia en el caos del combate, obtén ventaja en las pruebas de concentración.
Subclass/&MagicAffinityMeleeWizardConcentrationTitle	Concentración mejorada
Subclass/&MagicAffinityRoguishConArtistDC0Description	Tu CD de salvación de hechizos aumenta en 0.
Subclass/&MagicAffinityRoguishConArtistDC1Description	Tu CD de salvación de hechizos aumenta en 1.
Subclass/&MagicAffinityRoguishConArtistDC2Description	Tu CD de salvación de hechizos aumenta en 2.
Subclass/&MagicAffinityRoguishConArtistDC3Description	Tu CD de salvación de hechizos aumenta en 3.
Subclass/&MagicAffinityRoguishConArtistDC4Description	Tu CD de salvación de hechizos aumenta en 4.
Subclass/&MagicAffinityRoguishConArtistDC5Description	Tu CD de salvación de hechizos aumenta en 5.
Subclass/&MagicAffinityRoguishConArtistDCTitle	Manipulación mejorada
Subclass/&MagicAffinitySpellMasterBonusScribingDescription	Escriba un hechizo adicional en cada nivel superior.
Subclass/&MagicAffinitySpellMasterBonusScribingTitle	Amplitud de conocimiento
Subclass/&MagicAffinitySpellMasterRecoveryDescription	Una vez por descanso prolongado, puedes recuperar espacios de hechizos (además de Recuperación arcana).
Subclass/&MagicAffinitySpellMasterRecoveryTitle	Profundidad Arcana
Subclass/&MagicAffinitySpellMasterRecoveryUnlimitedDescription	Tiempos ilimitados que puedes recuperar espacios de hechizos (además de Recuperación Arcana).
