ActionAffinity/&DHFeeblemindSpellDescription	Unable to cast spells.
Subclass/&MagicAffinityMasterManipulatorDC4Description	It is harder for opponents to resist your spells. The save DC increases by 4.
Subclass/&MagicAffinityMasterManipulatorDC5Description	It is harder for opponents to resist your spells. The save DC increases by 5.
Subclass/&MagicAffinityMasterManipulatorDCDescription	It is harder for opponents to resist your spells. The save DC increases by 3.
Subclass/&MagicAffinityMasterManipulatorDCTitle	Arcane Force
Subclass/&MagicAffinityMasterManipulatorListDescription	When casting some Enchantment, Abjuration, and Illusion spells they are cast at a spell slot 1 level higher than the one used. Improved spells include: Charm Person, Sleep, Color Spray, Hold Person, Invisibility, Counterspell, Dispel Magic, Banishment, Confusion, Phantasmal Killer, Dominate Person, and Hold Monster.
Subclass/&MagicAffinityMasterManipulatorListTitle	Arcane Manipulation
Subclass/&MagicAffinityMeleeWizardConcentrationDescription	Due to experience in the chaos of combat, gain advantage on concentration checks.
Subclass/&MagicAffinityMeleeWizardConcentrationTitle	Improved Concentration
Subclass/&MagicAffinityRoguishConArtistDC0Description	Your spell save DC increases by 0.
Subclass/&MagicAffinityRoguishConArtistDC1Description	Your spell save DC increases by 1.
Subclass/&MagicAffinityRoguishConArtistDC2Description	Your spell save DC increases by 2.
Subclass/&MagicAffinityRoguishConArtistDC3Description	Your spell save DC increases by 3.
Subclass/&MagicAffinityRoguishConArtistDC4Description	Your spell save DC increases by 4.
Subclass/&MagicAffinityRoguishConArtistDC5Description	Your spell save DC increases by 5.
Subclass/&MagicAffinityRoguishConArtistDCTitle	Improved Manipulation
Subclass/&MagicAffinitySpellMasterBonusScribingDescription	Scribe an additional spell at each level up.
Subclass/&MagicAffinitySpellMasterBonusScribingTitle	Breadth of Knowledge
Subclass/&MagicAffinitySpellMasterRecoveryDescription	Once per long rest, you can recover spell slots (in addition to Arcane Recovery).
Subclass/&MagicAffinitySpellMasterRecoveryTitle	Arcane Depth
Subclass/&MagicAffinitySpellMasterRecoveryUnlimitedDescription	Unlimited times you can recover spell slots (in addition to Arcane Recovery).
Subclass/&MagicAffinitySpellMasterRecoveryUnlimitedTitle	Arcane Depth
Subclass/&MagicAffinitySpellMasterScribingDescription	Scribing spells takes 1/4 the time and cost, and you have advantage.
Subclass/&MagicAffinitySpellMasterScribingTitle	Master Scriber
Subclass/&ManipulatorMentalSavingThrowsDescription	Gain proficiency in saving throws with Constitution and Charisma.
Subclass/&ManipulatorMentalSavingThrowsTitle	Mental Resistance
Subclass/&MarshalEternalComradeDescription	Fallen Comrade
Subclass/&MarshalEternalComradeTitle	Fallen Comrade
Subclass/&OpportunistDescription	Opportunist are those who never let a chance to finish their enemies slide. They stab fast and stab where it matters. Not many faced them can escaped unscratched.
Subclass/&OpportunistTitle	Opportunist
Subclass/&PowerArtificerBattleSmithImprovedInfuseWeaponDescription	You infuse your weapon with power. Your attacks count as magical and you add your +7 to your attack and damage rolls. You can only have one of each infusion active at a time. Activating it a second time will cancel the first.
Subclass/&PowerArtificerBattleSmithImprovedInfuseWeaponTitle	Improved Infuse Weapon
Subclass/&PowerArtificerBattleSmithInfuseWeaponDescription	You infuse your weapon with power. Your attacks count as magical and you use your Intelligence for attack and damage rolls until the next long rest.
Subclass/&PowerArtificerBattleSmithInfuseWeaponTitle	Infuse Weapon
Subclass/&PowerInfuseArmorMagicalStrengthDescription	Infuse armor with magical strength. You gain advantage on Strength ability checks and saving throws. You can only have one of each infusion active at a time. Activating it a second time will cancel the first.
Subclass/&PowerInfuseArmorMagicalStrengthTitle	Armor of Magical Strength
Subclass/&PowerInfuseDarkvisionDescription	Infuse the ability to see in the dark into a pair of goggles. You can only have one of each infusion active at a time. Activating it a second time will cancel the first. You can only have one of each infusion active at a time. Activating it a second time will cancel the first.
Subclass/&PowerInfuseDarkvisionTitle	Goggles of Night
Subclass/&PowerInfuseMindSharpenerDescription	Infuse an armor or robe with the ability to aid your spell casting concentration. You gain advantage on concentration checks and any damage less than 20 doesn't trigger a check. You can only have one of each infusion active at a time. Activating it a second time will cancel the first.
Subclass/&PowerInfuseMindSharpenerTitle	Mind Sharpener
Subclass/&PowerInfuseResistantArmorDescription	Infuse damage resistance into your armor. It becomes resistant to acid, cold, fire, force, lightning, necrotic, poison, psychic, radiant, and thunder damage. You can only have one of each infusion active at a time. Activating it a second time will cancel the first.
Subclass/&PowerInfuseResistantArmorTitle	Resistant Armor
Subclass/&PowerManipulatorDominatePersonDescription	You can use Dominate Person a number of times per long rest equal to your Intelligence modifier.
Subclass/&PowerManipulatorDominatePersonTitle	Dominate Person
Subclass/&PowerSpellRefuelingRingDescription	When you activate this, you regain half your level in spell slots.
Subclass/&PowerSpellRefuelingRingTitle	Spell Refueling Ring
Subclass/&PowerSpellShieldArcaneDeflectionDescription	You can use your arcane powers to shield yourself as a reaction. This gives you +{0} to your AC until your next turn.
Subclass/&PowerSpellShieldArcaneDeflectionTitle	Arcane Deflection
Subclass/&PowerSpellShieldRangedDeflectionDescription	When an attacker that you can see hits you with a ranged attack or spell, you can use your reaction to halve the attack's damage against you.
Subclass/&PowerSpellShieldRangedDeflectionTitle	Ranged Deflection
Subclass/&PowerTinkererSoulOfArtificeSavesDescription	Imbued into your armor is magical improvements to your ability to avoid bad effects. You gain 3d4 to every saving throw you make.
Subclass/&PowerTinkererSoulOfArtificeSavesTitle	Soul of Tinkerer
Subclass/&PowerTinkererSpellStoringItemDescription	As a bonus action, you can regain spell slots. You can do this a number of times per day equal to your Intelligence modifier.
Subclass/&PowerTinkererSpellStoringItemTitle	Spell Storing Item
Subclass/&PowerTransmuteConstitutionDescription	Use your Transmute Force to grant proficiency with Constitution Saves until the next long rest.
Subclass/&PowerTransmuteConstitutionTitle	Constitution Saves
Subclass/&PowerTransmuteDarkvisionDescription	Use your Transmute Force to grant Superior Darkvision until the next long rest.
Subclass/&PowerTransmuteDarkvisionTitle	Superior Darkvision
Subclass/&PowerTransmuteElementalResistanceDescription	Use your Transmute Force to grant resistance to acid, cold, fire, lightning, necrotic, poison and thunder damage until the end of your next long rest.
Subclass/&PowerTransmuteElementalResistanceTitle	Elemental Resistance
Subclass/&PowerTransmuteFlyDescription	Use your Transmute Force to grant the ability of flight.
Subclass/&PowerTransmuteFlyTitle	Fly
Subclass/&PowerTransmuteHealDescription	Use your Transmute Force to heal up to 6 targets.
Subclass/&PowerTransmuteHealTitle	Heal
Subclass/&PowerTransmuteReviveDescription	Use your Transmute Force to revive a character (within 1 minute of them dying).
Subclass/&PowerTransmuteReviveTitle	Revive
Subclass/&PurpleWitchDescription	Purple magic holds sway over the domains of illusions and enchantments that take hold over people's minds, and anything that is not quite as it seems. Practitioners of this form of magic are puppet masters, shaping the apparent reality of those around them to their advantage.
Subclass/&PurpleWitchMagicDescription	You gain the following spells. These spells count as Witch spells for you and don't count against your total number of spells known:\n {0}\n\n
Subclass/&PurpleWitchMagicTitle	Purple Magic
Subclass/&PurpleWitchTitle	Purple Witch
Subclass/&RangerArcanistRangerSubclassDescription	The Ranger Arcanist melds their Ranger skills with arcane abilities. Their weapons can afflict their opponents with the Arcanist's Mark, and have learned how to cast some Wizard spells as part of their Ranger spell repertoire.
Subclass/&RangerArcanistRangerSubclassTitle	Ranger Arcanist
Subclass/&RedWitchDescription	Arcane magic tied to channeling the elements is deemed red magic, and is extremely hazardous when used. Witches that specialize in red magic are among the deadliest spellcasters in existence, channeling their curse into unhindered arcane wrath.
Subclass/&RedWitchMagicDescription	You gain the following spells. These spells count as Witch spells for you and don't count against your total number of spells known:\n {0}\n\n
Subclass/&RedWitchMagicTitle	Red Magic
Subclass/&RedWitchTitle	Red Witch
Subclass/&RoguishConArtistDescription	Con Artists are rogues that specialize in deception and tricking others. They use magic to aid their natural manipulative abilities.
Subclass/&RoguishConArtistFeintConditionDescription	Being tricked grants advantage on the next attack.
Subclass/&RoguishConArtistFeintConditionTitle	Tricked
Subclass/&RoguishConArtistFeintDescription	Gain the ability to feint in combat as a bonus action. If the target fails their saving throw, this grants advantage on the next attack against the target.
Subclass/&RoguishConArtistFeintTitle	Feint
Subclass/&RoguishConArtistMentalSavingThrowsDescription	You gain proficiency in Wisdom and Charisma saving throws.
Subclass/&RoguishConArtistMentalSavingThrowsTitle	Mental Strength
Subclass/&RoguishConArtistSpellcastingDescription	Cast Wizard spells and cantrips from the Conjuration, Enchantment, Illusion, and Transmutation schools. The Con Artist uses Charisma to cast their spells.
Subclass/&RoguishConArtistSpellcastingTitle	Spellcasting
Subclass/&RoguishConArtistTitle	Con Artist
Subclass/&ScoutSentinelTinkererSubclassDescription	A Scout Sentinel Tinkerer modifies armor to enhance it's function, providing enhanced protection and mobility.
Subclass/&ScoutSentinelTinkererSubclassTitle	Scout Sentinel
Subclass/&SpellShieldAdditionalActionDescription	You can cast a spell after defeating an enemy with your weapon attacks.
Subclass/&SpellShieldAdditionalActionTitle	Spell Fighting
Subclass/&TactitionFighterSubclassDescription	The Tactician uses their knowledge and might on the battlefield to perform different gambits as they are needed. They can knock down foes, inspire their allies and get in deadly counter-strikes against their foes.
Subclass/&TactitionFighterSubclassTitle	The Tactician
Subclass/&TinkererFlashOfGeniusConditionDescription	Inspired by a flash of genius to have a bonus on ability checks and saving throws.
Subclass/&TinkererFlashOfGeniusConditionTitle	Flash of Genius
Subclass/&TinkererFlashOfGeniusPowerDescription	You can use your genius to inspire yourself and others on ability checks and saving throws.
Subclass/&TinkererFlashOfGeniusPowerTitle	Flash of Genius
Subclass/&TinkererMagicalTinkeringDescription	Gain the ability to do several minor effects (Dazzle, Sparkle, Shine).
