ActionAffinity/&DHFeeblemindSpellDescription	Kann keine Zaubersprüche wirken.
Subclass/&AttackModifierArtificerEnhancedArmorTitle	Verbesserte Rüstung
Subclass/&AttackModifierArtificerEnhancedFocusDescription	Ein Zauberfokus deiner Wahl wird magisch und erhöht die Angriffswürfe und Schutz-DC von Zaubern um +1. Du kannst immer nur eine der Infusionen gleichzeitig aktiv haben. Wenn du sie ein zweites Mal aktivierst, wird die erste aufgehoben.
Subclass/&AttackModifierArtificerEnhancedFocusTitle	Erhöhter Fokus
Subclass/&AttackModifierArtificerEnhancedWeaponDescription	Eine Waffe deiner Wahl wird magisch und erhält +1 auf Angriffs- und Schadenswürfe. Du kannst von jedem Aufguss nur einen gleichzeitig aktivieren. Wenn du sie ein zweites Mal aktivierst, wird die erste aufgehoben.
Subclass/&AttackModifierArtificerEnhancedWeaponTitle	Verbesserte Waffe
Subclass/&AttackModifierArtificerImprovedEnhancedArmorDescription	Eine Rüstung deiner Wahl wird magisch und bietet +2 AC. Von jedem Aufguss kann immer nur einer aktiv sein. Wird sie ein zweites Mal aktiviert, wird die erste aufgehoben.
Subclass/&AttackModifierArtificerImprovedEnhancedArmorTitle	Verbesserte verstärkte Rüstung
Subclass/&AttackModifierArtificerImprovedEnhancedFocusDescription	Ein Zauberfokus deiner Wahl wird magisch und erhöht die Angriffswürfe und Schutz-DC von Zaubern um +2. Von jeder Infusion kann immer nur eine gleichzeitig aktiv sein. Wenn du sie ein zweites Mal aktivierst, wird die erste aufgehoben.
Subclass/&AttackModifierArtificerImprovedEnhancedFocusTitle	Verbesserter erweiterter Fokus
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponDescription	Berühre eine Waffe und sie wird magisch und erhält +2 auf Angriffs- und Schadenswürfe. Du kannst immer nur einen Aufguss gleichzeitig aktiv haben. Wenn du sie ein zweites Mal aktivierst, wird die erste aufgehoben.
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponTitle	Verbesserte, verstärkte Waffe
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponDescription	Du durchdringst deine Waffe mit Macht. Deine Angriffe gelten als magisch und du erhältst +7 auf deine Angriffs- und Schadenswürfe.
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponTitle	Verbesserte Waffe durchdringen
Subclass/&AttackModifierMeleeWizardArcaneWeaponDescription	Wenn du eine Waffe aktivierst, gelten ihre Angriffe als magisch und du verwendest deine Intelligenz für deine Angriffs- und Schadenswürfe.
Subclass/&AttackModifierMeleeWizardArcaneWeaponTitle	Arkane Waffe
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackDescription	Du erhältst einen zusätzlichen Angriff.
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackTitle	Extra-Angriff
Subclass/&AttributeModifierMeleeWizardExtraAttackDescription	Du erhältst einen zusätzlichen Angriff.
Subclass/&AttributeModifierMeleeWizardExtraAttackTitle	Extra-Angriff
Subclass/&BarbarianPathOfTheLightDescription	Barbaren, die dem Pfad des Lichts folgen, erhellen die Dunkelheit und schützen ihre Verbündeten vor den Gefahren, die in ihr lauern.
Subclass/&BarbarianPathOfTheLightEyesOfTruthDescription	Du stehst immer unter dem Einfluss des Zaubers Unsichtbarkeit sehen.
Subclass/&BarbarianPathOfTheLightEyesOfTruthTitle	Augen der Wahrheit
Subclass/&BarbarianPathOfTheLightIlluminatedConditionDescription	Abgelenkt durch Erleuchtender Schlag.
Subclass/&BarbarianPathOfTheLightIlluminatedConditionTitle	Beleuchtet
Subclass/&BarbarianPathOfTheLightIlluminatedDisadvantageDescription	Nachteil bei jedem Angriffswurf, der nicht gegen den Barbaren des Pfades des Lichts gerichtet ist.
Subclass/&BarbarianPathOfTheLightIlluminatedPreventInvisibilityDescription	Kann nicht unsichtbar werden.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstDescription	In der Runde, in der du in Wut gerätst, kannst du bis zu drei Feinde im Umkreis von 30 Fuß erleuchten. Sie müssen einen Konstitutionsschutzwurf bestehen (DC gleich 8 + dein Fertigkeitsbonus + dein Konstitutionsmodifikator) oder 4d6 Strahlungsschaden erleiden und 1 Minute lang von deinem Erleuchtenden Schlag erleuchtet werden. Eine auf diese Weise erleuchtete Kreatur macht am Ende jeder ihrer Runden einen weiteren Konstitutions-Erhaltungswurf. Bei einem erfolgreichen Schutz endet der Effekt für sie.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerDescription	Bis zu drei Feinde machen einen Konstitutions-Erhaltungswurf oder erleiden 4d6 Strahlungsschaden und werden von deinem Erleuchtenden Schlag erleuchtet.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerTitle	Illuminierender Stoß
Subclass/&BarbarianPathOfTheLightIlluminatingBurstTitle	Erleuchtender Ansturm
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeDescription	Während du wütest, erleidet die erste Kreatur, die du mit einem Angriff in deinem Zug triffst, zusätzlich 1d6 Strahlenschaden und wird bis zum Beginn deines nächsten Zuges magisch erleuchtet. Außerdem hat die Kreatur bei jedem Angriffswurf, der nicht gegen dich gerichtet ist, einen Nachteil und kann sich nicht unsichtbar machen.
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementDescription	Der zusätzliche Schaden, der durch Erleuchtender Stoß verursacht wird, erhöht sich auf 2d6.
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementTitle	Verbesserung von Illuminating Strike
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeTitle	Leuchtender Stoß
Subclass/&BarbarianPathOfTheLightLightsProtectionDescription	Du erhältst Trefferpunkte in Höhe der Hälfte deiner Barbarenstufe zurück, wenn eine feindliche Kreatur stirbt, die von deinem Erleuchtenden Schlag betroffen ist. Außerdem provozierst du keine Gelegenheitsangriffe mehr von Kreaturen, die von deinem "Erleuchtenden Schlag" betroffen sind.
Subclass/&BarbarianPathOfTheLightLightsProtectionTitle	Der Schutz des Lichts
Subclass/&BarbarianPathOfTheLightPierceTheDarknessDescription	Du erhältst überlegene Nachtsicht.
Subclass/&BarbarianPathOfTheLightPierceTheDarknessTitle	Durchdringen der Dunkelheit
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionDescription	Du kannst unsichtbare Kreaturen wahrnehmen.
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionTitle	Unsichtbarkeitssicht
Subclass/&BarbarianPathOfTheLightTitle	Pfad des Lichts
Subclass/&BloodWitchDescription	Die Blutmagie, die von den meisten Hexenzirkeln verboten ist, konzentriert sich auf die Verwendung von dunklen Zaubern und tödlichen Verhexungen, die aus der Essenz des Zaubernden schöpfen. Die Blutmagie ist grundsätzlich gefährlicher als andere Hexenhandwerke, aber die vielen Risiken sind mit reichlich Belohnungen verbunden.
Subclass/&BloodWitchMagicDescription	Du erhältst die folgenden Zaubersprüche. Diese Zauber zählen für dich als Hexenzauber und werden nicht auf die Gesamtzahl deiner bekannten Zauber angerechnet:\n {0}\n\n
Subclass/&BloodWitchMagicTitle	Blutmagie
Subclass/&BloodWitchTitle	Bluthexe
Subclass/&CancelCancelElixirFlyDescription	Beende den Zustand "Fliegen" des Elixiers "Trankmacher".
Subclass/&CancelCancelElixirFlyTitle	Fliege aufheben
Subclass/&CancelCancelElixirResilienceDescription	Beende die Bedingung "Unverwüstlichkeit" des Elixiers "Trankmacher".
Subclass/&CancelCancelElixirResilienceTitle	Widerstandsfähigkeit abbrechen
Subclass/&CancelCancelElixirSwiftnessDescription	Beende die Bedingung Schnelligkeit aus dem Elixier des Trankherstellers.
Subclass/&CancelCancelElixirSwiftnessTitle	Schnelligkeit aufheben
Subclass/&ClassMonkTraditionDescription	Auf der 3. Stufe wählst du den spirituellen Weg, den du zur Erleuchtung beschreitest. Er bestimmt, wie du Ki manipulierst.
Subclass/&ClassMonkTraditionTitle	Mönchische Traditionen
Subclass/&ClassMonkTraditionWayOfTheOpenHandDescription	Mönche des Weges der offenen Hand sind die ultimativen Meister der Kampfkünste, ob bewaffnet oder unbewaffnet. Sie erlernen Techniken, um ihre Gegner zu stoßen und zu stolpern, manipulieren Ki, um Schäden an ihrem Körper zu heilen, und üben fortgeschrittene Meditation, die sie vor Schaden schützen kann.
Subclass/&ClassMonkTraditionWayOfTheOpenHandTitle	Weg der offenen Hand
Subclass/&ClassMonkTraditionZenArcherDescription	Praktizierende des Weges der weiten Hand trainieren, Pfeile zu einer Verlängerung ihrer Hände zu machen. Sie sind geübt im Umgang mit dem Bogen und in der Vermittlung von Ki-Effekten durch Pfeile.
Subclass/&ClassMonkTraditionZenArcherTitle	Weg der fernen Hand
Subclass/&ClassWarlockPatronDescription	Ein Hexenmeister ist durch einen Pakt mit einem jenseitigen Wesen definiert. Manchmal ist die Beziehung zwischen Hexenmeister und Beschützer wie die zwischen einem Kleriker und einer Gottheit, obwohl die Wesen, die als Beschützer dienen, keine Götter sind.
Subclass/&ClassWarlockPatronTitle	Jenseitiger Schutzherr
Subclass/&ConditionResistantArmorTitle	Widerstandsfähige Rüstung
Subclass/&ConditionResistnatArmorDescription	Deine Rüstung ist resistent gegen Säure-, Kälte-, Feuer-, Kraft-, Blitz-, Nekrotische-, Gift-, Psychische-, Strahlen- und Donnerschaden.
Subclass/&ConditionSpellShieldArcaneDeflectionDescription	Als Reaktion kannst du deine arkanen Kräfte einsetzen, um dich zu schützen. Dadurch erhältst du bis zu deinem nächsten Zug +3 auf deinen AC.
Subclass/&ConditionSpellShieldArcaneDeflectionTitle	Arkane Ablenkung
Subclass/&ConditionTransmuteConstitutionSaveDescription	Vorübergehende Konstitutionsschutz-Fähigkeit, die durch die Macht Machtumwandlung gewährt wird.
Subclass/&ConditionTransmuteConstitutionSaveTitle	Konstitutionsabwehr
Subclass/&ConditionTransmutePoisonDescription	Vorübergehende Säure-, Kälte-, Feuer-, Blitz-, Nekrotik-, Gift- und Donner-Resistenz, die durch die Macht "Macht umwandeln" gewährt wird.
Subclass/&ConditionTransmutePoisonTitle	Elementar-Resistenz
Subclass/&CraftingTinkererMagicItemAdeptDescription	Du bist geschickt im Herstellen von magischen Gegenständen. Du brauchst 1/4 der Zeit für die Herstellung von Gegenständen und wendest beim Herstellen den doppelten Fertigkeitsbonus an.
Subclass/&CraftingTinkererMagicItemAdeptTitle	Adept für magische Gegenstände
Subclass/&DHWarlockSubclassElementalPatronDescription	Du hast einen Pakt mit den Primordialen in den elementaren Badlands geschlossen und wurdest von ihnen verändert. Das elementare Chaos des Schutzherrn hat deine Seele durchdrungen und lässt dich die Macht verschiedener Elementararten nutzen.
Subclass/&DHWarlockSubclassElementalPatronTitle	Elementarmagier-Pakt
Subclass/&DHWarlockSubclassRiftWalkerDescription	Dein Schutzherr ist eines der seltenen Wesen, die die Leere zwischen den Welten ihr Zuhause nennen. Sie gleiten mit Leichtigkeit zwischen den Ebenen hin und her, und das Wissen, das du aus der Interaktion mit ihnen gewonnen hast, erlaubt es dir, die verweilenden Spalt-Energien in Solasta zu deinem Vorteil zu nutzen. Es kann sein, dass dich manchmal die Sehnsucht nach dem fernen Reich deines Schutzherrn packt, der Wunsch, für den Rest deiner Tage zwischen den Dimensionen zu wandern, oder du hältst Ausschau nach Anzeichen für ein weiteres Spaltereignis, entweder um es zu verhindern oder zu fördern.
Subclass/&DHWarlockSubclassRiftWalkerTitle	Pakt der Spaltwanderer
Subclass/&DruidForestGuardianDruidSubclassDescription	Kreis der Waldhüter Druiden haben geschworen, die Wälder und alle, die in ihnen leben, zu schützen. Die Mitglieder dieses Druidenzirkels sind geübt in der Anwendung von Abjurationsmagie und im Kampf und sind auf dem Schlachtfeld furchterregende Gegner.
Subclass/&DruidForestGuardianDruidSubclassTitle	Kreis des Waldwächters
Subclass/&EquipmentModifierArtificerBagOfHolderDescription	Berühre eine Tasche und fülle einen zusätzlichen Dimensionsraum auf, damit sie mehr Gewicht trägt, ohne dich zu belasten. Du kannst immer nur eine der Infusionen aktiv haben. Wenn du sie ein zweites Mal aktivierst, wird die erste aufgehoben.
Subclass/&EquipmentModifierArtificerBagOfHolderTitle	Beutel des Haltens
Subclass/&FighterMarshalCoordinatedAttackDescription	Wenn du einen Gegner mit einem Nahkampfangriff triffst, können deine Verbündeten ihre Reaktion nutzen, um einen Gelegenheitsangriff gegen dein Ziel auszuführen.
Subclass/&FighterMarshalCoordinatedAttackTitle	Koordinierter Angriff
Subclass/&FighterMarshalDescription	Kämpfer, die diesen Kampfstil beherrschen, sind berühmte Ochestratoren auf dem Schlachtfeld, da sie die Schwächen ihrer Gegner genau studieren und die Angriffe der anderen Gruppenmitglieder koordinieren, um sie auszunutzen.
Subclass/&FighterMarshalEncouragementPowerDescription	Der Mut des Marschalls spornt seine Gruppenmitglieder an. Verbündete im Umkreis von 10 Fuß um ihn addieren 1d4 zu Angriffswurf und Rettungswurf.
Subclass/&FighterMarshalEncouragementPowerTitle	Ermutigung
Subclass/&FighterMarshalEternalComradeFeatureSetDescription	Das Band zwischen dem Marschall und seinem Kameraden überschreitet die Grenze zwischen Leben und Tod. Als Bonusaktion kann der Marschall einen Geist seiner gefallenen Kameraden beschwören, um ihm im Kampf beizustehen.
Subclass/&FighterMarshalEternalComradeFeatureSetTitle	Ewiger Kamerad
Subclass/&FighterMarshalFearlessCommanderFeatureSetDescription	Du bist immun gegen den Effekt der Furcht.
Subclass/&FighterMarshalFearlessCommanderFeatureSetTitle	Furchtloser Kommandant
Subclass/&FighterMarshalKnowYourEnemyFeatureSetDescription	Du addierst deine Wissensstufe über dein aktuelles Ziel zu deinen Angriffs- und Schadenswürfen.
Subclass/&FighterMarshalKnowYourEnemyFeatureSetTitle	Kenne deinen Feind
Subclass/&FighterMarshalStudyYourEnemyPowerDescription	Als Bonusaktion kannst du versuchen, dein Wissen über dein Ziel zu erweitern, indem du eine Überlebensprobe ablegst. Du kannst dies zweimal pro kurzer Ruhepause tun.
Subclass/&FighterMarshalStudyYourEnemyPowerTitle	Studiere deinen Feind
Subclass/&FighterMarshalSummonEternalComradePowerDescription	Beschwöre 1 Geist des gefallenen Kameraden des Marschalls. Jeder Geist hat 45 + das Doppelte deiner Kämpferstufe an HP und sein AC beträgt 16 + deinen Fertigkeitsbonus. Die Geister sind immun gegen die Zustände Gift, Kälte, Nekrosen, Liegen, Lähmung und Fesselung. Die Geister sind widerstandsfähig gegen Feuer-, Säure-, Blitz- und Donnerschaden und widerstandsfähig gegen nicht-magischen Hieb-, Stoß- und Durchbohrungsschaden. Wenn sie an der Reihe sind, können sie bis zu 50 Fuß weit fliegen und einen einzigen Angriff mit einer Nahkampfwaffe ausführen, der 2d6 + 5 magischen Hiebschaden mit einem Bonus von 5 + Fertigkeitsbonus auf Treffer verursacht.
Subclass/&FighterMarshalSummonEternalComradePowerTitle	Ewigen Kameraden beschwören
Subclass/&FighterMarshalTitle	Marschall
Subclass/&FighterRoyalKnightDescription	Ein Ritter, der andere zu Größe inspiriert, indem er im Kampf mutige Taten vollbringt. Ein einzelner Ritter ist ein fähiger Krieger, aber ein Ritter, der eine Gruppe von Verbündeten anführt, kann selbst die am schlechtesten ausgerüstete Miliz in eine wilde Kriegstruppe verwandeln.
Subclass/&FighterRoyalKnightTitle	Königlicher Ritter
Subclass/&FighterSpellShieldDescription	Zauberschilde sind Kämpfer, die sich auf Verteidigung und Schutz spezialisiert haben. Sie setzen Magie ein, um ihre natürlichen Fähigkeiten zu unterstützen.
Subclass/&FighterSpellShieldSpellcastingDescription	Sie wirken Zaubersprüche und Cantrips aus den Schulen Abjuration, Illusion, Transmutation und Nekromantie.
Subclass/&FighterSpellShieldSpellcastingTitle	Zaubern
Subclass/&FighterSpellShieldSpellResistanceDescription	Deine Erfahrung mit Zaubern und insbesondere mit der Abjurationsmagie hat dich resistent gegen gegen dich gerichtete Zauber gemacht.
Subclass/&FighterSpellShieldSpellResistanceTitle	Widerstand gegen Zaubersprüche
Subclass/&FighterSpellShieldTitle	Zauber-Schild
Subclass/&GreenWitchDescription	Pflanzen, Natur und Dinge, die wachsen, sind die Domäne der grünen Magie. Normalerweise wird diese Art der Arkana von Druiden beherrscht, aber einige Hexen haben eine enge Verbindung zu den Kräften der grünen Magie und können Pflanzen und Tiere dazu bringen, sich ihnen zu unterwerfen.
Subclass/&GreenWitchMagicDescription	Du erhältst die folgenden Zaubersprüche. Diese Zauber zählen für dich als Hexenzauber und werden nicht auf deine Gesamtanzahl an bekannten Zaubern angerechnet:\n{0}\n\n
Subclass/&GreenWitchMagicTitle	Grüne Magie
Subclass/&GreenWitchTitle	Grüne Hexe
Subclass/&HArtilleryIncreaseDescription	Artillerie-Pool erhöhen.
Subclass/&HArtilleryIncreaseTitle	Artillerie-Pool erhöhen
Subclass/&HealingPoolArtificerBattleSmithInfusionsIncreaseDescription	Du kannst nun jeden Tag zwei zusätzliche Gegenstände aufladen. Diese sind für deine spezielle Waffenschmiede-Waffe bestimmt.
Subclass/&HealingPoolArtificerBattleSmithInfusionsIncreaseTitle	Waffenschmied-Waffeninfusion
Subclass/&HealingPoolArtificerInfusionsDescription	2 Mal pro Tag Gegenstände mit magischen Effekten aufgießen.
Subclass/&HealingPoolArtificerInfusionsIncreaseDescription	Du kannst nun jeden Tag einen zusätzlichen Gegenstand aufgießen.
Subclass/&HealingPoolArtificerInfusionsIncreaseTitle	Weitere Infusionen
Subclass/&HealingPoolArtificerInfusionsTitle	Infusionen
Subclass/&HealingPoolLifeTransmuterBonusDescription	Du kannst der Realität 2 zusätzliche Male am Tag deinen Willen aufzwingen.
Subclass/&HealingPoolLifeTransmuterBonusExtraDescription	Du kannst der Realität 4 zusätzliche Male am Tag deinen Willen aufzwingen.
Subclass/&HealingPoolLifeTransmuterBonusExtraTitle	Zusätzliche Transmutationskraft
Subclass/&HealingPoolLifeTransmuterBonusTitle	Zusätzliche Transmutationskraft
Subclass/&HealingPoolLifeTransmuterListDescription	Du kannst deinen Willen mit besonderen Kräften 2 Mal pro Tag in der Realität durchsetzen.
Subclass/&HealingPoolLifeTransmuterListTitle	Kraft umwandeln
Subclass/&MagicAffinityAlchemicalSavantListDescription	Wenn du "Säurepfeil" und "Flammende Kugel" wirkst, verhalten sie sich so, als wären sie 2 Stufen höher. Deine Zaubersprüche werden außerdem verstärkt, so dass der Gegner auch dann noch die Hälfte des Schadens erleidet, wenn er rettet.
