ActionAffinity/&DHFeeblemindSpellDescription	No puede lanzar hechizos.
Subclass/&ConditionTransmuteConstitutionSaveDescription	Competencia temporal de salvación de Constitución otorgada por el poder de Transmutar la Fuerza.
Subclass/&ConditionTransmuteConstitutionSaveTitle	Salvaciones de Constitución
Subclass/&ConditionTransmutePoisonDescription	Resistencia temporal al ácido, al frío, al fuego, al rayo, a lo necrótico, al veneno y al trueno concedida por el poder Transmutar la Fuerza.
Subclass/&ConditionTransmutePoisonTitle	Resistencia elemental
Subclass/&CraftingTinkererMagicItemAdeptDescription	Eres un experto en la fabricación de objetos mágicos. Tardas 1/4 del tiempo en fabricar objetos y aplicas el doble de tu bonificación de competencia al fabricar.
Subclass/&CraftingTinkererMagicItemAdeptTitle	Adepto a los objetos mágicos
Subclass/&DHWarlockSubclassElementalPatronDescription	Has hecho un pacto con los primordiales presentes en las tierras baldías elementales y has sido transformado por ellos. El caos elemental del patrón ha impregnado tu alma, permitiéndote utilizar el poder de diferentes tipos de elementos.
Subclass/&DHWarlockSubclassElementalPatronTitle	Pacto elementalista
Subclass/&DHWarlockSubclassRiftWalkerDescription	Tu patrón es uno de los raros seres que llaman al vacío entre los mundos su hogar. Se deslizan entre los planos con facilidad y el conocimiento que has obtenido al interactuar con ellos te permite aprovechar las energías de la grieta para tu beneficio dentro de solasta. A veces te invade la nostalgia por el lejano reino de tu patrón, el deseo de vagar entre dimensiones durante el resto de tus días, o estar atento a las señales de otro acontecimiento de la Grieta, ya sea para prevenirlo o fomentarlo.
Subclass/&DHWarlockSubclassRiftWalkerTitle	Pacto del Caminante de la Grieta
Subclass/&DruidForestGuardianDruidSubclassDescription	Círculo del Bosque Los druidas guardianes han jurado proteger los bosques y todo lo que en ellos habita. Hábiles en el uso de la magia de Abjuración y el combate marcial, los miembros de este círculo druídico son temibles oponentes en el campo de batalla.
Subclass/&DruidForestGuardianDruidSubclassTitle	Círculo del Guardián del Bosque
Subclass/&EquipmentModifierArtificerBagOfHolderDescription	Toca una bolsa e infunde un espacio dimensional extra para que aguante más peso sin estorbarte. Sólo puedes tener una de cada infusión activa a la vez. Al activarla por segunda vez, se anula la primera.
Subclass/&EquipmentModifierArtificerBagOfHolderTitle	Saco de arena
Subclass/&FighterMarshalCoordinatedAttackDescription	Cuando golpeas a un enemigo con un ataque cuerpo a cuerpo, tus aliados pueden usar su reacción para realizar un ataque de oportunidad contra tu objetivo.
Subclass/&FighterMarshalCoordinatedAttackTitle	Ataque coordinado
Subclass/&FighterMarshalDescription	Hábiles en el estudio de los puntos débiles de los enemigos y en la coordinación de los ataques de los demás miembros del grupo para explotarlos, los luchadores que se han entrenado en esta parte marcial son famosos organizadores del campo de batalla.
Subclass/&FighterMarshalEncouragementPowerDescription	El valor del mariscal inspira a los miembros de su grupo. Los aliados a menos de 3 metros de él añaden 1d4 a la tirada de ataque y a la tirada de salvación.
Subclass/&FighterMarshalEncouragementPowerTitle	Aliento
Subclass/&FighterMarshalEternalComradeFeatureSetDescription	El vínculo entre el mariscal y su camarada cruza la frontera entre la vida y la muerte. Como acción de bonificación, el mariscal puede invocar un espíritu de sus camaradas caídos para que le ayude en el combate.
Subclass/&FighterMarshalEternalComradeFeatureSetTitle	Camarada eterno
Subclass/&FighterMarshalFearlessCommanderFeatureSetDescription	Eres inmune al efecto del miedo.
Subclass/&FighterMarshalFearlessCommanderFeatureSetTitle	Comandante Intrépido
Subclass/&FighterMarshalKnowYourEnemyFeatureSetDescription	Añades tu nivel de conocimiento del objetivo actual a tus tiradas de ataque y daño.
Subclass/&FighterMarshalKnowYourEnemyFeatureSetTitle	Conocer al enemigo
Subclass/&FighterMarshalStudyYourEnemyPowerDescription	Como acción adicional, puedes intentar aumentar tus conocimientos sobre tu objetivo haciendo un chequeo de Supervivencia. Puedes hacer esto dos veces por descanso corto.
Subclass/&FighterMarshalStudyYourEnemyPowerTitle	Estudiar a tu enemigo
Subclass/&FighterMarshalSummonEternalComradePowerDescription	Invoca 1 espíritu del camarada caído del mariscal. Cada espíritu tiene 45 + el doble de tu nivel de luchador y su CA es 16 + tu bonificación de competencia. Los espíritus son inmunes a las condiciones de veneno, frío, necrótico, prono, paralizado y restringido. Los espíritus tienen resistencia al fuego, al ácido, al rayo y al trueno y tienen resistencia al daño cortante, contundente y perforante no mágico. En su turno, pueden volar hasta 15 metros y realizar un único ataque con arma cuerpo a cuerpo que inflige 2d6 + 5 de daño cortante mágico con un bonificador de 5 + de proficencia para impactar.
Subclass/&FighterMarshalSummonEternalComradePowerTitle	Invocar camarada eterno
Subclass/&FighterMarshalTitle	Mariscal
Subclass/&FighterRoyalKnightDescription	Un caballero que inspira grandeza en los demás al cometer actos valientes en la batalla. Un caballero solitario es un guerrero hábil, pero uno que lidere una banda de aliados puede transformar incluso la milicia más pobremente equipada en una feroz banda de guerra.
Subclass/&FighterRoyalKnightTitle	Caballero Real
Subclass/&FighterSpellShieldDescription	Los Escudos de Hechizo son luchadores especializados en la defensa y la protección. Utilizan la magia para ayudar a sus habilidades naturales.
Subclass/&FighterSpellShieldSpellcastingDescription	Lanzan hechizos y cantrips de las escuelas de Abjuración, Ilusión, Transmutación y Nigromancia.
Subclass/&FighterSpellShieldSpellcastingTitle	Lanzamiento de hechizos
Subclass/&FighterSpellShieldSpellResistanceDescription	Tu experiencia con los hechizos y la magia de Abjuración en particular te ha hecho resistente a los hechizos lanzados contra ti.
Subclass/&FighterSpellShieldSpellResistanceTitle	Resistencia a los hechizos
Subclass/&FighterSpellShieldTitle	Escudo de hechizos
Subclass/&GreenWitchDescription	Las plantas, la naturaleza y las cosas que crecen son el dominio de la magia verde. Normalmente es un tipo de arcanos defendidos por los druidas, pero algunas brujas tienen un estrecho vínculo con los poderes de la magia verde y pueden engatusar a las plantas y los animales para que cumplan sus órdenes.
Subclass/&GreenWitchMagicDescription	Obtienes los siguientes hechizos. Estos hechizos cuentan como hechizos de bruja para ti y no cuentan contra tu número total de hechizos conocidos:\n{0}\n
Subclass/&GreenWitchMagicTitle	Magia Verde
Subclass/&GreenWitchTitle	Bruja Verde
Subclass/&HArtilleryIncreaseDescription	Aumento del Fondo de Artillería.
Subclass/&HArtilleryIncreaseTitle	Aumento del Fondo de Artillería
Subclass/&HealingPoolArtificerBattleSmithInfusionsIncreaseDescription	Ahora puedes infundir dos objetos adicionales cada día. Estos están destinados a ser utilizados para tu arma especial Weapon Smith.
Subclass/&HealingPoolArtificerBattleSmithInfusionsIncreaseTitle	Infusión de arma de herrero
Subclass/&HealingPoolArtificerInfusionsDescription	Infunde 2 veces al día objetos con efectos mágicos.
Subclass/&HealingPoolArtificerInfusionsIncreaseDescription	Ahora puedes infundir un objeto adicional cada día.
Subclass/&HealingPoolArtificerInfusionsIncreaseTitle	Más infusiones
Subclass/&HealingPoolArtificerInfusionsTitle	Infusiones
Subclass/&HealingPoolLifeTransmuterBonusDescription	Puedes imponer tu voluntad en la realidad 2 veces más al día.
Subclass/&HealingPoolLifeTransmuterBonusExtraDescription	Puedes imponer tu voluntad en la realidad 4 veces más al día.
Subclass/&HealingPoolLifeTransmuterBonusExtraTitle	Fuerza de transmutación adicional
Subclass/&HealingPoolLifeTransmuterBonusTitle	Fuerza de transmutación adicional
Subclass/&HealingPoolLifeTransmuterListDescription	Puedes imponer tu voluntad en la realidad con poderes especiales 2 veces al día.
Subclass/&HealingPoolLifeTransmuterListTitle	Fuerza de Transmutación
Subclass/&MagicAffinityAlchemicalSavantListDescription	Cuando lanzas Flecha Ácida y Esfera Flamígera se comportan como si las lanzaras 2 niveles más arriba. Tus cantrips también se potencian, por lo que incluso cuando el enemigo se salva, sigue recibiendo la mitad de daño.
Subclass/&MagicAffinityAlchemicalSavantListTitle	Hechizos de sabio de elixir
Subclass/&MagicAffinityAlchemistSpellRecoveryDescription	Puedes recuperar ranuras de hechizo durante un descanso corto dos veces al día.
Subclass/&MagicAffinityAlchemistSpellRecoveryTitle	Preparación Alquímica
Subclass/&MagicAffinityFighterSpellShieldDescription	Ventaja en los chequeos de concentración, así como la capacidad de realizar los componentes somáticos de los hechizos mientras sostienes objetos.
Subclass/&MagicAffinityFighterSpellShieldTitle	Lanzamiento en combate
Subclass/&MagicAffinityLifeTransmuterListDescription	Cuando se lanzan algunos conjuros de Transmutación y Nigromancia se lanzan en una ranura de conjuro 2 niveles superior a la utilizada. Los hechizos mejorados incluyen: Vida falsa, Ceguera, Volar, Otorgar maldición, Toque vampírico, Tizón y Matar nubes. \Nota: La intención es que el Arma Mágica también se beneficie, pero actualmente aumentar el nivel del hechizo de esta manera en el Arma Mágica no tiene efecto.
Subclass/&MagicAffinityLifeTransmuterListTitle	Doblar la realidad
Subclass/&MagicAffinityMasterManipulatorDC0Description	Es más difícil para los oponentes resistir tus hechizos. La DC de salvación aumenta en 0.
Subclass/&MagicAffinityMasterManipulatorDC1Description	Es más difícil para los oponentes resistir tus hechizos. La CC de salvación aumenta en 1.
Subclass/&MagicAffinityMasterManipulatorDC2Description	Es más difícil para los oponentes resistir tus hechizos. La CC de salvación aumenta en 2.
Subclass/&MagicAffinityMasterManipulatorDC3Description	Es más difícil para los oponentes resistir tus hechizos. La CC de salvación aumenta en 3.
Subclass/&MagicAffinityMasterManipulatorDC4Description	Es más difícil para los oponentes resistir tus hechizos. La CC de salvación aumenta en 4.
Subclass/&MagicAffinityMasterManipulatorDC5Description	Es más difícil para los oponentes resistir tus hechizos. La CC de salvación aumenta en 5.
Subclass/&MagicAffinityMasterManipulatorDCDescription	Es más difícil para los oponentes resistir tus hechizos. La CC de salvación aumenta en 3.
Subclass/&MagicAffinityMasterManipulatorDCTitle	Fuerza Arcana
Subclass/&MagicAffinityMasterManipulatorListDescription	Cuando se lanzan algunos hechizos de Encantamiento, Abjuración e Ilusión se lanzan en una ranura de hechizo de 1 nivel superior a la utilizada. Los hechizos mejorados incluyen: Encantar a una persona, Dormir, Rociar con color, Retener a una persona, Invisibilidad, Contrahechizo, Disipar magia, Destierro, Confusión, Asesino fantasmal, Dominar a una persona y Retener a un monstruo.
Subclass/&MagicAffinityMasterManipulatorListTitle	Manipulación Arcana
Subclass/&MagicAffinityMeleeWizardConcentrationDescription	Debido a la experiencia en el caos del combate, gana ventaja en los chequeos de concentración.
Subclass/&MagicAffinityMeleeWizardConcentrationTitle	Concentración mejorada
Subclass/&MagicAffinityRoguishConArtistDC0Description	Tu DC de salvación de hechizos aumenta en 0.
Subclass/&MagicAffinityRoguishConArtistDC1Description	Tu CC de salvación de conjuros aumenta en 1.
Subclass/&MagicAffinityRoguishConArtistDC2Description	Tu CC de salvación de conjuros aumenta en 2.
Subclass/&MagicAffinityRoguishConArtistDC3Description	Tu CC de salvación de hechizos aumenta en 3.
Subclass/&MagicAffinityRoguishConArtistDC4Description	Tu CC de salvación de hechizos aumenta en 4.
Subclass/&MagicAffinityRoguishConArtistDC5Description	Tu CC de salvación de hechizos aumenta en 5.
Subclass/&MagicAffinityRoguishConArtistDCTitle	Manipulación mejorada
Subclass/&MagicAffinitySpellMasterBonusScribingDescription	Escribes un hechizo adicional en cada nivel superior.
Subclass/&MagicAffinitySpellMasterBonusScribingTitle	Amplitud de Conocimiento
Subclass/&MagicAffinitySpellMasterRecoveryDescription	Una vez por descanso largo, puedes recuperar ranuras de conjuro (además de Recuperación Arcana).
Subclass/&MagicAffinitySpellMasterRecoveryTitle	Profundidad Arcana
Subclass/&MagicAffinitySpellMasterRecoveryUnlimitedDescription	Una vez por descanso largo, puedes recuperar ranuras de conjuro (además de Recuperación Arcana).
Subclass/&MagicAffinitySpellMasterRecoveryUnlimitedTitle	Profundidad Arcana
Subclass/&MagicAffinitySpellMasterScribingDescription	Escribir hechizos lleva 1/4 de tiempo y coste, y tienes ventaja.
Subclass/&MagicAffinitySpellMasterScribingTitle	Maestro escribiente
Subclass/&ManipulatorMentalSavingThrowsDescription	Gana competencia en tiradas de salvación con Constitución y Carisma.
Subclass/&ManipulatorMentalSavingThrowsTitle	Resistencia Mental
Subclass/&MarshalEternalComradeDescription	Camarada caído
Subclass/&MarshalEternalComradeTitle	Camarada caído
Subclass/&OpportunistDescription	Los oportunistas son aquellos que nunca dejan pasar la oportunidad de acabar con sus enemigos. Apuñalan rápido y apuñalan donde importa. No son muchos los que se enfrentan a ellos y escapan sin ser arañados.
Subclass/&OpportunistTitle	Oportunista
Subclass/&PowerArtificerBattleSmithImprovedInfuseWeaponDescription	Infundes poder a tu arma. Tus ataques cuentan como mágicos y añades tu +7 a tus tiradas de ataque y daño. Sólo puedes tener una de cada infusión activa a la vez. Al activarla por segunda vez, se anula la primera.
Subclass/&PowerArtificerBattleSmithImprovedInfuseWeaponTitle	Infusión de arma mejorada
Subclass/&PowerArtificerBattleSmithInfuseWeaponDescription	Infundes tu arma con poder. Tus ataques cuentan como mágicos y utilizas tu Inteligencia para las tiradas de ataque y daño hasta el siguiente descanso largo.
Subclass/&PowerArtificerBattleSmithInfuseWeaponTitle	Infundir arma
Subclass/&PowerInfuseArmorMagicalStrengthDescription	Infunde fuerza mágica a tu armadura. Obtienes ventaja en los chequeos de habilidad de Fuerza y en las tiradas de salvación. Sólo puedes tener una de cada infusión activa a la vez. Al activarla por segunda vez, se anula la primera.
