ActionAffinity/&DHFeeblemindSpellDescription	Unfähig zu zaubern
Subclass/&FighterRoyalKnightDescription	Ein Ritter, der andere zu Größe inspiriert, indem er im Kampf mutige Taten vollbringt. Ein einzelner Ritter ist ein fähiger Krieger, aber ein Ritter, der eine Gruppe von Verbündeten anführt, kann selbst die am schlechtesten ausgerüstete Miliz in eine wilde Kriegstruppe verwandeln.
Subclass/&FighterRoyalKnightTitle	Königlicher Ritter
Subclass/&FighterSpellShieldDescription	Zauberschilde sind Kämpfer, die sich auf Verteidigung und Schutz spezialisiert haben. Sie setzen Magie ein, um ihre natürlichen Fähigkeiten zu unterstützen.
Subclass/&FighterSpellShieldSpellcastingDescription	Sie wirken Zaubersprüche und Cantrips aus den Schulen Abjuration, Illusion, Transmutation und Nekromantie.
Subclass/&FighterSpellShieldSpellcastingTitle	Zaubern
Subclass/&FighterSpellShieldSpellResistanceDescription	Deine Erfahrung mit Zaubern und insbesondere mit der Abjurationsmagie hat dich resistent gegen gegen dich gerichtete Zauber gemacht.
Subclass/&FighterSpellShieldSpellResistanceTitle	Widerstand gegen Zaubersprüche
Subclass/&FighterSpellShieldTitle	Zauber-Schild
Subclass/&GreenWitchDescription	Pflanzen, Natur und Dinge, die wachsen, sind die Domäne der grünen Magie. Normalerweise wird diese Art der Arkana von Druiden beherrscht, aber einige Hexen haben eine enge Verbindung zu den Kräften der grünen Magie und können Pflanzen und Tiere dazu bringen, sich ihnen zu unterwerfen.
Subclass/&GreenWitchMagicDescription	Du erhältst die folgenden Zaubersprüche. Diese Zauber zählen für dich als Hexenzauber und werden nicht auf deine Gesamtanzahl an bekannten Zaubern angerechnet. \n\nZaubersprüche der Stufe\nStufe 1: Verstricken, Goodberry\nStufe 2: Rindenhaut, Schutz vor Gift\nStufe 3: Tiere beschwören, Nahrung erschaffen\nStufe 4: Rieseninsekt, Steinhaut\nStufe 5: Böses und Gutes vertreiben, Insektenplage
Subclass/&GreenWitchMagicTitle	Grüne Magie
Subclass/&GreenWitchTitle	Grüne Hexe
Subclass/&HArtilleryIncreaseDescription	ArtilleriePool erhöhen
Subclass/&HArtilleryIncreaseTitle	ArtilleriePool-Erhöhung
Subclass/&HealingPoolArtificerBattleSmithInfusionsIncreaseDescription	Ihr könnt nun jeden Tag zwei zusätzliche Gegenstände aufgießen, die ihr für eure spezielle Waffenschmied-Waffe verwenden könnt
Subclass/&HealingPoolArtificerBattleSmithInfusionsIncreaseTitle	Waffenschmied-Waffeninfusion
Subclass/&HealingPoolArtificerInfusionsDescription	2 Mal pro Tag Gegenstände mit magischen Effekten aufgießen
Subclass/&HealingPoolArtificerInfusionsIncreaseDescription	Du kannst nun jeden Tag einen zusätzlichen Gegenstand aufgießen
Subclass/&HealingPoolArtificerInfusionsIncreaseTitle	Weitere Infusionen
Subclass/&HealingPoolArtificerInfusionsTitle	Aufgüsse
Subclass/&HealingPoolLifeTransmuterBonusDescription	2 zusätzliche Male pro Tag kannst du der Realität deinen Willen aufzwingen.
Subclass/&HealingPoolLifeTransmuterBonusExtraDescription	4 zusätzliche Male pro Tag kannst du der Realität deinen Willen aufzwingen.
Subclass/&HealingPoolLifeTransmuterBonusExtraTitle	Zusätzliche Transmutationskraft
Subclass/&HealingPoolLifeTransmuterBonusTitle	Zusätzliche Transmutationskraft
Subclass/&HealingPoolLifeTransmuterListDescription	2 Mal pro Tag kannst du der Realität mit besonderen Fähigkeiten deinen Willen aufzwingen.
Subclass/&HealingPoolLifeTransmuterListTitle	Kraft umwandeln
Subclass/&KSRogueSubclassThugDescription	Schläger sind scharfsinnige Kämpfer, die den Nervenkitzel des Kampfes suchen und ihre Feinde mit allen Mitteln in den Staub beißen lassen. Sie profitieren von einem fortgeschrittenen Kampftraining und lernen, sowohl ihren Verstand als auch ihre Muskeln einzusetzen, um im Kampf zu triumphieren.
Subclass/&KSRogueSubclassThugTitle	Schläger
Subclass/&MagicAffinityAlchemicalSavantListDescription	Wenn sie Säurepfeil und Flammende Kugel wirken, verhalten sie sich so, als wären sie 2 Stufen höher. Deine Zaubersprüche sind außerdem verstärkt, so dass der Feind selbst bei einem Schutzwurf nur die Hälfte des Schadens erleidet.
Subclass/&MagicAffinityAlchemicalSavantListTitle	Elixier-Savant-Zauber
Subclass/&MagicAffinityAlchemistSpellRecoveryDescription	Du kannst zweimal am Tag während einer kurzen Ruhepause Zauberschlitze wiederherstellen.
Subclass/&MagicAffinityAlchemistSpellRecoveryTitle	Alchemistische Vorbereitung
Subclass/&MagicAffinityFighterSpellShieldDescription	Vorteil bei Konzentrationsproben sowie die Fähigkeit, somatische Komponenten von Zaubern auszuführen, während du Gegenstände hältst.
Subclass/&MagicAffinityFighterSpellShieldTitle	Kampfzauber
Subclass/&MagicAffinityLifeTransmuterListDescription	Wenn du einige Transmutations- und Nekromantiezauber wirkst, werden sie auf einem Zauberplatz gewirkt, der 2 Stufen höher ist als der verwendete. Zu den verbesserten Zaubern gehören: Falsches Leben, Blindheit, Fliegen, Fluch verleihen, Vampirische Berührung, Brand und Wolkentod. -- Anmerkung: Es ist beabsichtigt, dass auch Magische Waffe davon profitiert, aber derzeit hat die Erhöhung der Zauberstufe auf diese Weise bei Magischer Waffe keinen Effekt.
Subclass/&MagicAffinityLifeTransmuterListTitle	Realitätsverbiegung
Subclass/&MagicAffinityMasterManipulatorDC0Description	Es ist für Gegner schwieriger, deinen Zaubern zu widerstehen. Der Schutz-DC erhöht sich um 0.
Subclass/&MagicAffinityMasterManipulatorDC1Description	Es ist für Gegner schwieriger, deinen Zaubern zu widerstehen. Der Schutz-DC erhöht sich um 1.
Subclass/&MagicAffinityMasterManipulatorDC2Description	Es ist für Gegner schwieriger, deinen Zaubern zu widerstehen. Der Schutz-DC erhöht sich um 2.
Subclass/&MagicAffinityMasterManipulatorDC3Description	Es ist für Gegner schwieriger, deinen Zaubern zu widerstehen. Der Schutz-DC erhöht sich um 3.
Subclass/&MagicAffinityMasterManipulatorDC4Description	Es ist für Gegner schwieriger, deinen Zaubern zu widerstehen. Der Schutz-DC erhöht sich um 4.
Subclass/&MagicAffinityMasterManipulatorDC5Description	Es ist für Gegner schwieriger, deinen Zaubern zu widerstehen. Der Schutz-DC erhöht sich um 5.
Subclass/&MagicAffinityMasterManipulatorDCDescription	Es ist für Gegner schwieriger, deinen Zaubern zu widerstehen. Der Schutz-DC erhöht sich um 3.
Subclass/&MagicAffinityMasterManipulatorDCTitle	Arkane Kraft
Subclass/&MagicAffinityMasterManipulatorListDescription	Wenn du einige Verzauberungs-, Abjurations- und Illusionszauber wirkst, werden sie auf einem Zauberplatz gewirkt, der 1 Stufe höher ist als der verwendete. Zu den verbesserten Zaubern gehören: Person verzaubern, Schlaf, Farbspray, Person festhalten, Unsichtbarkeit, Gegenzauber, Magie bannen, Bannung, Verwirrung, Phantasmatöter, Person beherrschen und Monster festhalten.
Subclass/&MagicAffinityMasterManipulatorListTitle	Arkane Manipulation
Subclass/&MagicAffinityMeleeWizardConcentrationDescription	Durch die Erfahrung im Chaos des Kampfes erhältst du einen Vorteil bei Konzentrationsproben.
Subclass/&MagicAffinityMeleeWizardConcentrationTitle	Verbesserte Konzentration
Subclass/&MagicAffinityRoguishConArtistDC0Description	Dein Schutz-DC für Zaubersprüche erhöht sich um 0.
Subclass/&MagicAffinityRoguishConArtistDC1Description	Dein Schutz-DC gegen Zaubersprüche erhöht sich um 1.
Subclass/&MagicAffinityRoguishConArtistDC2Description	Dein Schutz-DC gegen Zaubersprüche erhöht sich um 2.
Subclass/&MagicAffinityRoguishConArtistDC3Description	Dein Schutz-DC gegen Zaubersprüche erhöht sich um 3.
Subclass/&MagicAffinityRoguishConArtistDC4Description	Dein Zauberspruch-Save-DC erhöht sich um 4.
Subclass/&MagicAffinityRoguishConArtistDC5Description	Dein Zauberspruch-Save-DC erhöht sich um 5.
Subclass/&MagicAffinityRoguishConArtistDCTitle	Verbesserte Manipulation
Subclass/&MagicAffinitySpellMasterBonusScribingDescription	Beschreibe auf jeder höheren Stufe einen zusätzlichen Zauberspruch.
Subclass/&MagicAffinitySpellMasterBonusScribingTitle	Weitreichendes Wissen
Subclass/&MagicAffinitySpellMasterRecoveryDescription	Einmal pro langer Ruhepause kannst du Zauberschlitze wiederherstellen (zusätzlich zur Arkanen Wiederherstellung).
Subclass/&MagicAffinitySpellMasterRecoveryTitle	Arkane Tiefe
Subclass/&MagicAffinitySpellMasterRecoveryUnlimitedDescription	Unbegrenzt oft kannst du Zauberplätze wiederherstellen (zusätzlich zur Arkanen Wiederherstellung).
Subclass/&MagicAffinitySpellMasterRecoveryUnlimitedTitle	Arkane Tiefe
Subclass/&MagicAffinitySpellMasterScribingDescription	Das Schreiben von Zaubern dauert 1/4 der Zeit und der Kosten, und du hast einen Vorteil.
Subclass/&MagicAffinitySpellMasterScribingTitle	Meisterschreiber
Subclass/&ManipulatorMentalSavingThrowsDescription	Beherrschung von Schutzwürfen mit Konstitution und Charisma.
Subclass/&ManipulatorMentalSavingThrowsTitle	Mentale Resistenz
Subclass/&PowerArtificerBattleSmithImprovedInfuseWeaponDescription	Du durchdringst deine Waffe mit Macht. Deine Angriffe zählen als magisch und du addierst deine +7 zu deinen Angriffs- und Schadenswürfen. Beachte, dass du eine Infusion nur einmal aktiv haben kannst. Wenn du sie ein zweites Mal aktivierst, wird die erste deaktiviert.
Subclass/&PowerArtificerBattleSmithImprovedInfuseWeaponTitle	Verbesserte Waffeninfusion
Subclass/&PowerArtificerBattleSmithInfuseWeaponDescription	Du durchdringst deine Waffe mit Macht. Deine Angriffe zählen als magisch und du verwendest deine Intelligenz für Angriffs- und Schadenswürfe bis zur nächsten langen Pause.
Subclass/&PowerArtificerBattleSmithInfuseWeaponTitle	Waffe durchdringen
Subclass/&PowerInfuseArmorMagicalStrengthDescription	Durchtränke deine Rüstung mit magischer Kraft. Du erhältst einen Vorteil bei Stärke-Fähigkeitsprüfungen und Rettungswürfen. Beachte, dass du eine Infusion nur einmal aktiv haben kannst. Wenn du sie ein zweites Mal aktivierst, wird die erste Infusion aufgehoben.
Subclass/&PowerInfuseArmorMagicalStrengthTitle	Rüstung der magischen Stärke
Subclass/&PowerInfuseDarkvisionDescription	Verleihe einer Schutzbrille die Fähigkeit, im Dunkeln zu sehen. Beachte, dass du eine Infusion nur einmal aktivieren kannst. Wenn du sie ein zweites Mal aktivierst, wird die erste aufgehoben. Beachte, dass du eine Infusion nur einmal aktivieren kannst. Wenn du sie ein zweites Mal aktivierst, wird die erste abgebrochen.
Subclass/&PowerInfuseDarkvisionTitle	Schutzbrille der Nacht
Subclass/&PowerInfuseMindSharpenerDescription	Verleihe einer Rüstung oder einem Gewand die Fähigkeit, deine Konzentration beim Zaubern zu verbessern. Du erhältst einen Vorteil bei Konzentrationsprüfungen und jeder Schaden unter 20 löst keine Prüfung aus. Beachte, dass du eine Infusion nur einmal aktiv haben kannst. Wenn du sie ein zweites Mal aktivierst, wird die erste deaktiviert.
Subclass/&PowerInfuseMindSharpenerTitle	Geistschärfer
Subclass/&PowerInfuseResistantArmorDescription	Infundiere deiner Rüstung Schadensresistenz. Sie wird resistent gegen Säure-, Kälte-, Feuer-, Kraft-, Blitz-, Nekrotik-, Gift-, Psycho-, Strahlen- und Donnerschaden. Beachte, dass du eine Infusion nur einmal aktiv haben kannst. Wenn du sie ein zweites Mal aktivierst, wird die erste aufgehoben.
Subclass/&PowerInfuseResistantArmorTitle	Widerstandsfähige Rüstung
Subclass/&PowerManipulatorDominatePersonDescription	Du kannst "Person beherrschen" so oft pro langer Pause einsetzen, wie es deinem Intelligenzmodifikator entspricht.
Subclass/&PowerManipulatorDominatePersonTitle	Beherrschte Person
Subclass/&PowerSpellRefuelingRingDescription	Wenn du dies aktivierst, erhältst du die Hälfte deiner Stufe an Zauberplätzen zurück.
Subclass/&PowerSpellRefuelingRingTitle	Ring zum Auftanken von Zaubern
Subclass/&PowerSpellShieldArcaneDeflectionDescription	Du kannst deine arkanen Kräfte einsetzen, um dich als Reaktion abzuschirmen. Dies gibt dir +{0} auf deinen AC bis zu deinem nächsten Zug.
Subclass/&PowerSpellShieldArcaneDeflectionTitle	Arkane Ablenkung
Subclass/&PowerSpellShieldRangedDeflectionDescription	Wenn dich ein Angreifer, den du sehen kannst, mit einem Fernkampfangriff oder Zauber trifft, kannst du deine Reaktion nutzen, um den Schaden des Angriffs gegen dich zu halbieren.
Subclass/&PowerSpellShieldRangedDeflectionTitle	Fernkampf-Ablenkung
Subclass/&PowerTinkererSoulOfArtificeSavesDescription	In deine Rüstung ist eine magische Verbesserung deiner Fähigkeit eingearbeitet, schlechten Effekten auszuweichen. Du erhältst 3d4 auf jeden Schutzwurf, den du machst.
Subclass/&PowerTinkererSoulOfArtificeSavesTitle	Seele des Tüftlers
Subclass/&PowerTinkererSpellStoringItemDescription	Als Bonusaktion kannst du Zauberschlitze wiedergewinnen. Du kannst dies so oft pro Tag tun, wie es deinem Intelligenzmodifikator entspricht.
Subclass/&PowerTinkererSpellStoringItemTitle	Zauberspeichernder Gegenstand
Subclass/&PowerTransmuteConstitutionDescription	Setze deine Transmutationskraft ein, um bis zur nächsten langen Pause die Fähigkeit zu Konstitutionswürfen zu erhalten.
Subclass/&PowerTransmuteConstitutionTitle	Konstitutions-Saves
Subclass/&PowerTransmuteDarkvisionDescription	Verwende deine Transmutierte Kraft, um bis zur nächsten langen Ruhezeit Überlegene Dunkelheitssicht zu gewähren.
Subclass/&PowerTransmuteDarkvisionTitle	Überlegene Dunkelheitssicht
Subclass/&PowerTransmuteElementalResistanceDescription	Verwende deine Transmutierte Kraft, um bis zur nächsten langen Ruhezeit Resistenz gegen Säure, Kälte, Feuer, Blitz, Nekrotisch, Donner und Gift zu gewähren.
Subclass/&PowerTransmuteElementalResistanceTitle	Elementar-Resistenz
Subclass/&PowerTransmuteFlyDescription	Verwende deine Transmutierte Kraft, um die Fähigkeit des Fliegens zu verleihen.
Subclass/&PowerTransmuteFlyTitle	Fliegen
Subclass/&PowerTransmuteHealDescription	Verwende deine Transmutierte Kraft, um bis zu 6 Ziele zu heilen.
Subclass/&PowerTransmuteHealTitle	Heilen
Subclass/&PowerTransmuteReviveDescription	Verwende deine Transmutierte Kraft, um einen Charakter wiederzubeleben (innerhalb von 1 Minute nach seinem Tod).
Subclass/&PowerTransmuteReviveTitle	Wiederbeleben
Subclass/&PurpleWitchDescription	Die violette Magie beherrscht die Domäne der Illusionen und Verzauberungen, die den Geist der Menschen und alles, was nicht ganz so ist, wie es scheint, beeinflussen. Praktizierende dieser Form der Magie sind Puppenspieler, die die scheinbare Realität der Menschen um sie herum zu ihrem Vorteil gestalten.
Subclass/&PurpleWitchMagicDescription	Du erhältst die folgenden Zaubersprüche. Diese Zauber zählen für dich als Hexenzauber und werden nicht auf deine Gesamtanzahl an bekannten Zaubern angerechnet. \n\nZaubersprüche der Stufen\nStufe 1: Verstricken, Goodberry\nStufe 2: Rindenhaut, Schutz vor Gift\nStufe 3: Tiere beschwören, Nahrung erschaffen\nStufe 4: Rieseninsekt, Steinhaut\nStufe 5: Böses und Gutes bannen, Insektenplage
Subclass/&PurpleWitchMagicTitle	Violette Magie
Subclass/&PurpleWitchTitle	Violette Hexe
Subclass/&RangerArcanistRangerSubclassDescription	Der Waldläufer-Arkanist verbindet seine Waldläufer-Fertigkeiten mit arkanen Fähigkeiten. Ihre Waffen können ihre Gegner mit dem Mal des Arkanisten befallen und sie haben gelernt, einige Zaubersprüche als Teil ihres Waldläufer-Zauberrepertoires zu wirken.
Subclass/&RangerArcanistRangerSubclassTitle	Waldläufer-Arkanist
Subclass/&RedWitchDescription	Arkane Magie, die mit der Kanalisierung der Elemente verbunden ist, gilt als rote Magie und ist bei ihrer Anwendung äußerst gefährlich. Hexen, die sich auf rote Magie spezialisiert haben, gehören zu den tödlichsten Zauberern überhaupt und kanalisieren ihren Fluch in ungehinderten arkanen Zorn.
Subclass/&RedWitchMagicDescription	Du erhältst die folgenden Zaubersprüche. Diese Zauber zählen für dich als Hexenzauber und werden nicht auf deine Gesamtanzahl an bekannten Zaubern angerechnet. \Stufe 1: Brennende Hände, Magisches Geschoss\nStufe 2: Säurepfeil, Sengender Strahl\nStufe 3: Feuerball, Schutz vor Energie\nStufe 4: Eissturm, Feuerwand\nStufe 5: Kältekegel, Gedankenverdrehung
Subclass/&RedWitchMagicTitle	Rote Magie
Subclass/&RedWitchTitle	Rote Hexe
Subclass/&RoguishConArtistDescription	Hochstapler sind Schurken, die sich auf Täuschung und Überlistung anderer spezialisiert haben. Sie setzen Magie ein, um ihre natürlichen manipulativen Fähigkeiten zu unterstützen.
Subclass/&RoguishConArtistFeintConditionDescription	Wenn sie ausgetrickst werden, erhalten sie einen Vorteil beim nächsten Angriff.
Subclass/&RoguishConArtistFeintConditionTitle	Ausgetrickst
Subclass/&RoguishConArtistFeintDescription	Erhalte die Fähigkeit, im Kampf eine Finte als Bonusaktion auszuführen. Wenn der Rettungswurf des Ziels misslingt, gewährt dies einen Vorteil für den nächsten Angriff gegen das Ziel.
Subclass/&RoguishConArtistFeintTitle	Finte
Subclass/&RoguishConArtistMentalSavingThrowsDescription	Du erhältst Fertigkeit in Weisheit- und Charisma-Sparwürfen.
Subclass/&RoguishConArtistMentalSavingThrowsTitle	Mentale Stärke
Subclass/&RoguishConArtistSpellcastingDescription	Zaubersprüche und Cantrips aus den Schulen Beschwörung, Verzauberung, Illusion und Transmutation wirken. Der Zauberkünstler verwendet Charisma, um seine Zauber zu wirken.
Subclass/&RoguishConArtistSpellcastingTitle	Zaubern
Subclass/&RoguishConArtistTitle	Zauberkünstler
Subclass/&ScoutSentinelTinkererSubclassDescription	Ein Scout Sentinel Tüftler modifiziert Rüstungen, um ihre Funktion zu verbessern und ihnen mehr Schutz und Beweglichkeit zu verleihen.
Subclass/&ScoutSentinelTinkererSubclassTitle	Späher-Wächter
Subclass/&SpellShieldAdditionalActionDescription	Du kannst einen Zauber wirken, nachdem du einen Gegner mit deinen Waffenangriffen besiegt hast.
Subclass/&SpellShieldAdditionalActionTitle	Kampf mit Zaubern
Subclass/&TactitionFighterSubclassDescription	Der Taktiker setzt sein Wissen und seine Macht auf dem Schlachtfeld ein, um je nach Bedarf verschiedene Gambits durchzuführen. Er kann Feinde niederschlagen, seine Verbündeten inspirieren und tödliche Gegenangriffe auf seine Feinde ausführen. Mod-Anmerkung - Diese Klasse verwendet für diese Eigenschaften erneut Channel Divinity.
