ActionAffinity/&DHFeeblemindSpellDescription	Incapable de lancer des sorts
Subclass/&BloodWitchMagicDescription	Vous gagnez les sorts suivants. Ces sorts comptent pour vous comme des sorts de sorcier et ne sont pas comptabilisés dans votre nombre total de sorts connus. \Sorts de niveau 1 : Enchevêtrement, Myrtille... Niveau 2 : Peau d'écorce, Protection contre le poison... Niveau 3 : Conjuration d'animaux, Création de nourriture... Niveau 4 : Insecte géant, Peau de pierre... Niveau 5 : Dissipation du mal et du bien, Peste d'insecte...
Subclass/&BloodWitchMagicTitle	Magie du sang
Subclass/&BloodWitchTitle	Sorcière du sang
Subclass/&CancelCancelElixirFlyDescription	Annule l'état de mouche de l'élixir Faiseur de potions.
Subclass/&CancelCancelElixirFlyTitle	Annuler la mouche
Subclass/&CancelCancelElixirResilienceDescription	Termine la condition de résilience de l'élixir de fabrication de potions.
Subclass/&CancelCancelElixirResilienceTitle	Annulez Résilience
Subclass/&CancelCancelElixirSwiftnessDescription	Annule la condition Swiftness de l'élixir de potion.
Subclass/&CancelCancelElixirSwiftnessTitle	Annuler Rapidité
Subclass/&ClassWarlockPatronDescription	Un sorcier est défini par un pacte avec un être d'un autre monde. Parfois, la relation entre le sorcier et le protecteur est semblable à celle d'un clerc et d'une divinité, bien que les êtres qui servent de protecteurs ne soient pas des dieux.
Subclass/&ClassWarlockPatronTitle	Mécène d'un autre monde
Subclass/&ConditionResistantArmorTitle	Armure résistante
Subclass/&ConditionResistnatArmorDescription	Votre armure est résistante aux dégâts d'acide, de froid, de feu, de force, de foudre, de nécrose, de poison, de psychisme, de rayonnement et de tonnerre.
Subclass/&ConditionSpellShieldArcaneDeflectionDescription	Vous pouvez utiliser vos pouvoirs arcaniques pour vous protéger en réaction. Cela vous donne +{0} à votre CA jusqu'à votre prochain tour.
Subclass/&ConditionSpellShieldArcaneDeflectionTitle	Déflexion arcanique
Subclass/&ConditionTransmuteConstitutionSaveDescription	Compétence temporaire de sauvegarde de Constitution accordée par le pouvoir Transmute Force.
Subclass/&ConditionTransmuteConstitutionSaveTitle	Sauvegarde de Constitution
Subclass/&ConditionTransmutePoisonDescription	Résistance temporaire à l'acide, au froid, au feu, à la foudre, à la nécrose, au tonnerre et au poison accordée par le pouvoir Transmute Force.
Subclass/&ConditionTransmutePoisonTitle	Résistance élémentaire
Subclass/&CraftingTinkererMagicItemAdeptDescription	Vous êtes adepte de la fabrication d'objets magiques. Il vous faut 1/4 du temps pour fabriquer des objets et vous appliquez le double de votre bonus de compétence lors de la fabrication.
Subclass/&CraftingTinkererMagicItemAdeptTitle	Adepte des objets magiques
Subclass/&DHWarlockSubclassElementalPatronDescription	Vous avez fait un pacte avec et avez été changé par les primordaux présents dans les badlands élémentaires. Le chaos élémentaire du patron a imprégné ton âme, te permettant d'utiliser le pouvoir de différents types d'éléments.
Subclass/&DHWarlockSubclassElementalPatronTitle	Pacte élémentaliste
Subclass/&DHWarlockSubclassRiftWalkerDescription	Votre patron est l'un des rares êtres qui considèrent le vide entre les mondes comme leur maison. Ils se glissent entre les plans avec facilité et les connaissances que vous avez acquises en interagissant avec eux vous permettent d'exploiter à votre profit les énergies des failles persistantes au sein de Solasta. Vous pouvez parfois être rempli d'une nostalgie pour le royaume lointain de votre patron, d'un désir d'errer entre les dimensions pour le reste de vos jours, ou de surveiller les signes d'un autre événement de la Faille, que ce soit pour le prévenir ou l'encourager.
Subclass/&DHWarlockSubclassRiftWalkerTitle	Pacte du marcheur de la brèche
Subclass/&DruidForestGuardianDruidSubclassDescription	Cercle de la forêt Les druides gardiens ont juré de protéger les forêts et tous ceux qui y vivent. Habiles à utiliser la magie d'abjuration et le combat martial, les membres de ce cercle druidique sont des adversaires redoutables sur le champ de bataille.
Subclass/&DruidForestGuardianDruidSubclassTitle	Cercle du gardien de la forêt
Subclass/&EquipmentModifierArtificerBagOfHolderDescription	Touchez un sac et infusez-lui un espace dimmensionnel supplémentaire pour l'aider à supporter plus de poids sans vous encombrer. Notez que vous ne pouvez avoir une infusion active qu'une seule fois. Si vous l'activez une deuxième fois, la première sera annulée.
Subclass/&EquipmentModifierArtificerBagOfHolderTitle	Sac de maintien
Subclass/&FighterRoyalKnightDescription	Un chevalier qui inspire la grandeur aux autres en commettant des actes de bravoure au combat. Un chevalier solitaire est un guerrier compétent, mais celui qui est à la tête d'une bande d'alliés peut transformer la milice la plus mal équipée en un féroce groupe de guerre.
Subclass/&FighterRoyalKnightTitle	Chevalier royal
Subclass/&FighterSpellShieldDescription	Les boucliers magiques sont des combattants spécialisés dans la défense et la protection. Ils utilisent la magie pour aider leurs capacités naturelles.
Subclass/&FighterSpellShieldSpellcastingDescription	Ils lancent des sorts de sorcier et des cantrips des écoles d'Abjuration, d'Illusion, de Transmutation et de Nécromancie.
Subclass/&FighterSpellShieldSpellcastingTitle	Lancer des sorts
Subclass/&FighterSpellShieldSpellResistanceDescription	Votre expérience des sorts et de la magie d'Abjuration en particulier vous a rendu résistant aux sorts lancés contre vous.
Subclass/&FighterSpellShieldSpellResistanceTitle	Résistance aux sorts
Subclass/&FighterSpellShieldTitle	Bouclier contre les sorts
Subclass/&GreenWitchDescription	Les plantes, la nature et les choses qui poussent sont le domaine de la magie verte. Normalement, il s'agit d'un type d'arcane défendu par les druides, mais certaines sorcières ont un lien étroit avec les pouvoirs de la magie verte et peuvent convaincre les plantes et les animaux de leur obéir.
Subclass/&GreenWitchMagicDescription	Vous gagnez les sorts suivants. Ces sorts comptent pour vous comme des sorts de sorcière et ne sont pas comptabilisés dans votre nombre total de sorts connus. \Sorts de niveau 1 : Enchevêtrement, Myrtille. Niveau 2 : Peau d'écorce, Protection contre le poison. Niveau 3 : Conjuration d'animaux, Création de nourriture. Niveau 4 : Insecte géant, Peau de pierre. Niveau 5 : Dissipation du mal et du bien, Peste d'insecte.
Subclass/&GreenWitchMagicTitle	Magie verte
Subclass/&GreenWitchTitle	Sorcière verte
Subclass/&HArtilleryIncreaseDescription	Augmentation de la réserve d'artillerie
Subclass/&HArtilleryIncreaseTitle	Augmentation de la piscine d'artillerie
Subclass/&HealingPoolArtificerBattleSmithInfusionsIncreaseDescription	Vous pouvez désormais infuser deux objets supplémentaires chaque jour, destinés à être utilisés pour votre arme spéciale Weapon Smith.
Subclass/&HealingPoolArtificerBattleSmithInfusionsIncreaseTitle	Infusion de l'arme Smith
Subclass/&HealingPoolArtificerInfusionsDescription	2 fois par jour, infusez des objets avec des effets magiques.
Subclass/&HealingPoolArtificerInfusionsIncreaseDescription	Vous pouvez maintenant infuser un objet supplémentaire chaque jour.
Subclass/&HealingPoolArtificerInfusionsIncreaseTitle	Plus d'infusions
Subclass/&HealingPoolArtificerInfusionsTitle	Infusions
Subclass/&HealingPoolLifeTransmuterBonusDescription	2 fois de plus par jour, vous pouvez imposer votre volonté à la réalité.
Subclass/&HealingPoolLifeTransmuterBonusExtraDescription	4 fois de plus par jour, vous pouvez forcer votre volonté sur la réalité.
Subclass/&HealingPoolLifeTransmuterBonusExtraTitle	Force de transmutation supplémentaire
Subclass/&HealingPoolLifeTransmuterBonusTitle	Force de transmutation supplémentaire
Subclass/&HealingPoolLifeTransmuterListDescription	2 fois par jour, vous pouvez imposer votre volonté à la réalité avec des capacités spéciales.
Subclass/&HealingPoolLifeTransmuterListTitle	Force de Transmutation
Subclass/&KSRogueSubclassThugDescription	Les Thugs sont des combattants à l'esprit vif qui recherchent le frisson du combat et feront mordre la poussière à leurs ennemis par tous les moyens nécessaires. Ils bénéficient d'un entraînement martial avancé et apprennent à utiliser leur esprit et leurs muscles pour triompher au combat.
Subclass/&KSRogueSubclassThugTitle	Voyou
Subclass/&MagicAffinityAlchemicalSavantListDescription	Lorsque vous lancez Flèche acide et Sphère enflammée, elles se comportent comme si elles étaient lancées 2 niveaux plus haut. Vos cantrips sont également améliorés et même si l'ennemi sauve, il subit la moitié des dégâts.
Subclass/&MagicAffinityAlchemicalSavantListTitle	Sorts du Savant Elixir
Subclass/&MagicAffinityAlchemistSpellRecoveryDescription	Vous pouvez récupérer des emplacements de sorts pendant un court repos deux fois par jour.
Subclass/&MagicAffinityAlchemistSpellRecoveryTitle	Préparation alchimique
Subclass/&MagicAffinityFighterSpellShieldDescription	Avantage sur les tests de concentration ainsi que la possibilité d'exécuter les composantes somatiques des sorts tout en tenant des objets.
Subclass/&MagicAffinityFighterSpellShieldTitle	Lancer de combat
Subclass/&MagicAffinityLifeTransmuterListDescription	Lorsque vous lancez certains sorts de Transmutation et de Nécromancie, ils sont lancés sur un emplacement de sort de 2 niveaux supérieurs à celui utilisé. Les sorts améliorés comprennent : Fausse vie, Cécité, Mouche, Malédiction, Toucher vampirique, Fléau, et Mort dans les nuages. -- Remarque L'intention est de faire bénéficier l'Arme magique des mêmes avantages, mais actuellement l'augmentation du niveau des sorts de cette façon sur l'Arme magique n'a aucun effet.
Subclass/&MagicAffinityLifeTransmuterListTitle	Tordre la réalité
Subclass/&MagicAffinityMasterManipulatorDC0Description	Il est plus difficile pour les adversaires de résister à vos sorts. Le DC de sauvegarde augmente de 0.
Subclass/&MagicAffinityMasterManipulatorDC1Description	Il est plus difficile pour les adversaires de résister à vos sorts. La valeur de sauvegarde DC augmente de 1.
Subclass/&MagicAffinityMasterManipulatorDC2Description	Il est plus difficile pour les adversaires de résister à vos sorts. La valeur de sauvegarde DC augmente de 2.
Subclass/&MagicAffinityMasterManipulatorDC3Description	Il est plus difficile pour les adversaires de résister à vos sorts. La valeur de sauvegarde DC augmente de 3.
Subclass/&MagicAffinityMasterManipulatorDC4Description	Il est plus difficile pour les adversaires de résister à vos sorts. La valeur de sauvegarde DC augmente de 4.
Subclass/&MagicAffinityMasterManipulatorDC5Description	Il est plus difficile pour les adversaires de résister à vos sorts. La valeur de sauvegarde DC augmente de 5.
Subclass/&MagicAffinityMasterManipulatorDCDescription	Il est plus difficile pour les adversaires de résister à vos sorts. Le score de sauvegarde augmente de 3.
Subclass/&MagicAffinityMasterManipulatorDCTitle	Force des arcanes
Subclass/&MagicAffinityMasterManipulatorListDescription	Lorsque vous lancez certains sorts d'enchantement, d'abjuration et d'illusion, ils sont lancés sur un emplacement de sort de 1 niveau supérieur à celui utilisé. Les sorts améliorés comprennent : Charmeur de personne, Sommeil, Vaporisateur de couleur, Retenir une personne, Invisibilité, Contre-sort, Dissipation de la magie, Bannissement, Confusion, Tueur fantasmatique, Dominer une personne et Retenir un monstre.
Subclass/&MagicAffinityMasterManipulatorListTitle	Manipulation des arcanes
Subclass/&MagicAffinityMeleeWizardConcentrationDescription	Grâce à votre expérience dans le chaos du combat, gagnez un avantage sur les tests de concentration.
Subclass/&MagicAffinityMeleeWizardConcentrationTitle	Concentration améliorée
Subclass/&MagicAffinityRoguishConArtistDC0Description	La valeur DC de votre sauvegarde contre les sorts est augmentée de 0.
Subclass/&MagicAffinityRoguishConArtistDC1Description	Votre sauvegarde contre les sorts est augmentée de 1.
Subclass/&MagicAffinityRoguishConArtistDC2Description	Votre niveau de sauvegarde contre les sorts est augmenté de 2.
Subclass/&MagicAffinityRoguishConArtistDC3Description	Votre niveau de sauvegarde contre les sorts est augmenté de 3.
Subclass/&MagicAffinityRoguishConArtistDC4Description	Votre niveau de sauvegarde des sorts augmente de 4.
Subclass/&MagicAffinityRoguishConArtistDC5Description	Votre niveau de sauvegarde contre les sorts augmente de 5.
Subclass/&MagicAffinityRoguishConArtistDCTitle	Manipulation améliorée
Subclass/&MagicAffinitySpellMasterBonusScribingDescription	Scrivez un sort supplémentaire à chaque augmentation de niveau.
Subclass/&MagicAffinitySpellMasterBonusScribingTitle	Ampleur des connaissances
Subclass/&MagicAffinitySpellMasterRecoveryDescription	Une fois par repos long, vous pouvez récupérer des emplacements de sorts (en plus de la récupération des arcanes).
Subclass/&MagicAffinitySpellMasterRecoveryTitle	Profondeur des arcanes
Subclass/&MagicAffinitySpellMasterRecoveryUnlimitedDescription	Vous pouvez récupérer des emplacements de sorts un nombre illimité de fois (en plus de la récupération des arcanes).
Subclass/&MagicAffinitySpellMasterRecoveryUnlimitedTitle	Profondeur des arcanes
Subclass/&MagicAffinitySpellMasterScribingDescription	L'écriture de sorts prend 1/4 du temps et du coût, et vous avez un avantage.
Subclass/&MagicAffinitySpellMasterScribingTitle	Maître scribe
Subclass/&ManipulatorMentalSavingThrowsDescription	Gagnez de la compétence aux jets de sauvegarde avec la Constitution et le Charisme.
Subclass/&ManipulatorMentalSavingThrowsTitle	Résistance mentale
Subclass/&PowerArtificerBattleSmithImprovedInfuseWeaponDescription	Vous insufflez de la puissance à votre arme. Vos attaques comptent comme magiques et vous ajoutez votre +7 à vos jets d'attaque et de dégâts. Notez que vous ne pouvez avoir une infusion active qu'une seule fois. L'activer une seconde fois annule la première.
Subclass/&PowerArtificerBattleSmithImprovedInfuseWeaponTitle	Infusion d'arme améliorée
Subclass/&PowerArtificerBattleSmithInfuseWeaponDescription	Vous infusez de la puissance à votre arme. Vos attaques sont considérées comme magiques et vous utilisez votre intelligence pour vos jets d'attaque et de dégâts jusqu'au prochain repos long.
